Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 31/05/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.39677,37528,2583.00,2540.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.7206,36900,09/05/2021
POALIM,POLI,662577,IL0006625771,5.07837,37514,2807.00,2756.0000,No,1336452973,88.65,100.00,1335921743.00,1335921743.00,0.67861,32652,09/05/2021
TEVA,TEVA,629014,IL0006290147,4.60227,37718,3439.00,3440.0000,No,1096776176,99.56,100.00,1096511852.00,1096511852.00,0.61157,37563,09/05/2021
NICE,NICE,273011,IL0002730112,4.47496,45845,72630.00,71000.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.48912,44816,09/05/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.11073,20599,15110.00,14940.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,20342,09/05/2021
DISCOUNT,DSCT,691212,IL0006912120,3.82125,19148,1645.00,1614.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,18787,09/05/2021
ICL,ICL,281014,IL0002810146,3.66260,30588,2382.00,2355.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16403,09/05/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.96133,24732,9690.00,9680.0000,No,255235176,58.11,60.00,255229694.00,153137816.40,1,14357,09/05/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.52283,12642,22580.00,22600.0000,No,55986436,80.28,100.00,55986436.00,55986436.00,1,10158,09/05/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.46035,12329,18250.00,18070.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,11406,09/05/2021
