Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 12/08/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.62733,36357,3298.00,3241.0000,No,1102385659,99.54,100.00,1102426176.00,1102426176.00,0.76667,35564,08/08/2021
LEUMI,LUMI,604611,IL0006046119,5.23416,38051,2619.00,2640.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.68137,38353,08/08/2021
NICE,NICE,273011,IL0002730112,5.09716,53805,85240.00,85270.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.46926,53824,08/08/2021
POALIM,POLI,662577,IL0006625771,5.06792,35616,2665.00,2701.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.70483,31997,08/08/2021
DISCOUNT,DSCT,691212,IL0006912120,3.77632,18706,1607.00,1623.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,18892,08/08/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.76766,18663,13690.00,13540.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,18436,08/08/2021
ICL,ICL,281014,IL0002810146,3.70513,30588,2382.00,2360.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16438,08/08/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.16562,26135,10230.00,10350.0000,No,255475633,58.14,60.00,255468933.00,153281359.80,1,15373,08/08/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.71531,13450,19910.00,20110.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12694,08/08/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.47801,12275,21920.00,22150.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,9959,08/08/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.26951,18736,42390.00,46270.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,11391,08/08/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.22363,31470,25950.00,25290.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9241,08/08/2021
TOWER,TSEM,1082379,IL0010823792,2.01214,9967,9210.00,9350.0000,No,108219239,100.00,100.00,108219239.00,108219239.00,1,10118,08/08/2021
NOVA,NVMI,1084557,IL0010845571,1.77202,8810,31070.00,31090.0000,No,28356397,94.04,100.00,28250933.00,28250933.00,1,8291,08/08/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.53575,7607,4380.00,4370.0000,No,173681404,84.61,100.00,173681404.00,173681404.00,1,6422,08/08/2021
BEZEQ,BEZQ,230011,IL0002300114,1.52303,9430,341.00,357.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7226,08/08/2021
SHUFERSAL,SAE,777037,IL0007770378,1.43700,7118,2683.00,2746.0000,No,265306147,99.92,100.00,265303075.00,265303075.00,1,7279,08/08/2021
MELISRON,MLSR,323014,IL0003230146,1.35598,11195,23590.00,23180.0000,No,47454878,48.43,60.00,47454878.00,28472926.80,1,5327,08/08/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.33126,8243,1196.00,1197.0000,No,689204537,60.80,80.00,689204537.00,551363629.60,1,5016,08/08/2021
MIVNE,MVNE,226019,IL0002260193,1.31446,7839,981.00,989.0000,No,799119757,76.37,80.00,829649286.00,663719428.80,1,6036,08/08/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.26192,6259,681.00,673.0000,No,919111762,98.22,100.00,917887083.00,917887083.00,1,6076,08/08/2021
FIBI BANK,FIBI,593038,IL0005930388,1.25903,10394,10360.00,10500.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,5440,08/08/2021
