Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 25/08/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.30906,57674,91370.00,93910.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.46926,59277,08/08/2021
LEUMI,LUMI,604611,IL0006046119,5.29767,39635,2728.00,2720.0000,Yes,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.68137,39515,08/08/2021
POALIM,POLI,662577,IL0006625771,5.19794,37594,2813.00,2817.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.70483,33371,08/08/2021
TEVA,TEVA,629014,IL0006290147,5.08670,33821,3068.00,3095.0000,No,1102385659,99.54,100.00,1102426176.00,1102426176.00,0.76667,33962,08/08/2021
DISCOUNT,DSCT,691212,IL0006912120,3.91832,19975,1716.00,1717.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,19986,08/08/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.57276,18213,13360.00,13180.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,17944,08/08/2021
ICL,ICL,281014,IL0002810146,3.35237,28482,2218.00,2225.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,15498,08/08/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.24139,27550,10780.00,10650.0000,No,255564460,58.16,60.00,255468933.00,153281359.80,1,15830,08/08/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.66893,13605,20140.00,20500.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12940,08/08/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.43885,20723,46880.00,47010.0000,No,44203756,55.70,60.00,44200164.00,26520098.40,1,11575,08/08/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.38920,12179,21750.00,22150.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,9959,08/08/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.33970,34078,28100.00,28780.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10516,08/08/2021
TOWER,TSEM,1082379,IL0010823792,1.95285,9955,9199.00,9380.0000,No,108219239,100.00,100.00,108219239.00,108219239.00,1,10151,08/08/2021
NOVA,NVMI,1084557,IL0010845571,1.69581,8677,30600.00,31360.0000,No,28356397,94.04,100.00,28250933.00,28250933.00,1,8363,08/08/2021
BEZEQ,BEZQ,230011,IL0002300114,1.67262,10658,385.40,388.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7853,08/08/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.57541,8031,4624.00,4706.0000,Yes,173688302,84.61,100.00,173681404.00,173681404.00,1,6916,08/08/2021
MELISRON,MLSR,323014,IL0003230146,1.40976,11978,25240.00,25550.0000,No,47454878,48.43,60.00,47454878.00,28472926.80,1,5872,08/08/2021
SHUFERSAL,SAE,777037,IL0007770378,1.40933,7185,2708.00,2711.0000,No,265326677,99.92,100.00,265303075.00,265303075.00,1,7187,08/08/2021
MIVNE,MVNE,226019,IL0002260193,1.38011,8471,1060.00,1075.0000,No,799119757,76.37,80.00,829649286.00,663719428.80,1,6561,08/08/2021
FIBI BANK,FIBI,593038,IL0005930388,1.34030,11387,11350.00,11500.0000,Yes,100330040,51.64,60.00,100330040.00,60198024.00,1,5958,08/08/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.32711,8457,1227.00,1245.0000,No,689204537,60.79,80.00,689204537.00,551363629.60,1,5216,08/08/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.24168,6338,689.60,694.8000,No,919111762,98.22,100.00,917887083.00,917887083.00,1,6272,08/08/2021
BIG,BIG,1097260,IL0010972607,1.15598,9823,46510.00,47500.0000,No,21120163,51.16,60.00,21116941.00,12670164.60,1,5132,08/08/2021
PHOENIX,PHOE,767012,IL0007670123,1.00976,8579,3400.00,3622.0000,No,252335083,56.09,60.00,252327671.00,151396602.60,1,5126,08/08/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.00907,8574,1994.00,1930.0000,No,429965784,53.28,60.00,429952866.00,257971719.60,1,4421,08/08/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.94471,10702,9215.00,9190.0000,No,116142005,42.79,45.00,116136290.00,52261330.50,1,4567,08/08/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.90724,4625,6837.00,6906.0000,No,67644867,84.99,100.00,67644867.00,67644867.00,1,3970,08/08/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.86741,7370,5920.00,5999.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3914,08/08/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.86316,7334,95260.00,96250.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3520,08/08/2021
