Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 18/02/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.03590,40746,3716.00,3601.0000,No,1096511852,99.59,100.00,1095971556.00,1095971556.00,0.5642,39324,07/02/2021
POALIM,POLI,662577,IL0006625771,4.96998,31728,2375.00,2370.0000,No,1335898103,84.24,100.00,1335898103.00,1335898103.00,0.71474,26671,07/02/2021
NICE,NICE,273011,IL0002730112,4.94521,54408,86730.00,83750.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.41472,52538,07/02/2021
LEUMI,LUMI,604611,IL0006046119,4.86745,29683,2043.00,2032.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.74822,29520,07/02/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.28741,19563,14350.00,14330.0000,No,136324409,99.91,100.00,136324409.00,136324409.00,1,19518,07/02/2021
ORMAT TECHNO,ORA,1134402,US6866881021,4.17274,21003,37520.00,36480.0000,No,55978924,80.32,100.00,55841090.00,55841090.00,0.90873,16402,07/02/2021
ICL,ICL,281014,IL0002810146,3.27183,24885,1943.00,1901.0000,No,1280751147,54.11,60.00,1280551147.00,768330688.20,1,13174,07/02/2021
DISCOUNT,DSCT,691212,IL0006912120,3.20674,14632,1257.00,1250.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,14550,07/02/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.98068,15085,22330.00,22260.0000,No,67554435,93.00,100.00,66021647.00,66021647.00,0.92251,13985,07/02/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.68719,20435,8012.00,7915.0000,No,255060462,55.96,60.00,255056523.00,153033913.80,1,11297,07/02/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.67945,20376,46100.00,45380.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,11172,07/02/2021
TOWER,TSEM,1082379,IL0010823792,2.53560,11569,10720.00,10320.0000,No,107923544,100.00,100.00,107923544.00,107923544.00,1,11138,07/02/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.89771,24740,20400.00,20180.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7374,07/02/2021
NOVA,NVMI,1084557,IL0010845571,1.65440,7532,26730.00,27050.0000,No,28176862,90.74,100.00,28240418.00,28240418.00,1,6916,07/02/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.56615,7146,4134.00,4080.0000,No,172859286,84.60,100.00,172859286.00,172859286.00,1,5967,07/02/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.52277,12124,1810.00,1789.0000,No,669828892,59.91,60.00,669828892.00,401897335.20,0.95515,7179,07/02/2021
BEZEQ,BEZQ,230011,IL0002300114,1.51281,8628,312.00,314.3000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,6362,07/02/2021
SHUFERSAL,SAE,777037,IL0007770378,1.42226,6489,2724.00,2675.0000,No,238233976,99.91,100.00,238233976.00,238233976.00,1,6367,07/02/2021
FIBI BANK,FIBI,593038,IL0005930388,1.14781,8729,8700.00,8668.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,4491,07/02/2021
MIVNE,MVNE,226019,IL0002260193,1.09814,6263,765.00,759.6000,No,818725670,73.20,80.00,818725670.00,654980536.00,1,4552,07/02/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.06914,4879,592.10,607.0000,No,823980252,98.02,100.00,823895625.00,823895625.00,1,4903,07/02/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.05779,8047,1875.00,1844.0000,No,429151973,53.21,60.00,429019283.00,257411569.80,1,4211,07/02/2021
STRAUSS GROUP,STRS,746016,IL0007460160,1.00440,10186,8771.00,8946.0000,No,116129716,42.78,45.00,116111933.00,52250369.85,1,4444,07/02/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.98597,7498,4234.00,4142.0000,No,177089406,54.69,60.00,177089406.00,106253643.60,1,4012,07/02/2021
PHOENIX,PHOE,767012,IL0007670123,0.87736,6672,2620.00,2574.0000,No,254656498,56.49,60.00,254656498.00,152793898.80,1,3703,07/02/2021
HAREL,HARL,585018,IL0005850180,0.83951,6384,2978.00,2978.0000,No,214378773,53.51,60.00,214378773.00,128627263.80,1,3416,07/02/2021
ELECTRA,ELTR,739037,IL0007390375,0.83793,6368,168800.00,167720.0000,No,3772361,51.25,60.00,3774984.00,2264990.40,1,3243,07/02/2021
MELISRON,MLSR,323014,IL0003230146,0.80523,8165,17210.00,17100.0000,No,47441367,48.42,45.00,47441367.00,21348615.15,1,3928,07/02/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.79779,8095,2270.00,2279.0000,No,356617641,39.61,45.00,356354717.00,160359622.65,1,3219,07/02/2021
