Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 03/02/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.66717,44825,4090.00,4039.0000,No,1095971556,99.59,100.00,1095971556.00,1095971556.00,0.56962,44085,10/01/2021
LEUMI,LUMI,604611,IL0006046119,4.97256,29886,2057.00,2057.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.74964,29883,10/01/2021
POALIM,POLI,662577,IL0006625771,4.94660,31327,2345.00,2376.0000,No,1335898103,84.24,100.00,1335898103.00,1335898103.00,0.71143,26739,10/01/2021
NICE,NICE,273011,IL0002730112,4.78294,55474,88430.00,89130.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.38846,55913,10/01/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.30563,19399,14230.00,13920.0000,No,136324409,99.91,100.00,136324409.00,136324409.00,1,18959,10/01/2021
ORMAT TECHNO,ORA,1134402,US6866881021,4.09524,21098,37690.00,37920.0000,No,55978924,80.32,100.00,55841090.00,55841090.00,0.87668,17050,10/01/2021
DISCOUNT,DSCT,691212,IL0006912120,3.26820,14725,1265.00,1255.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,14608,10/01/2021
LIVEPERSON,LPSN,1123017,US5381461012,3.17983,14327,21700.00,21660.0000,No,66021647,92.84,100.00,66021647.00,66021647.00,1,13276,10/01/2021
ICL,ICL,281014,IL0002810146,2.99284,22477,1755.00,1760.0000,No,1280751147,54.11,60.00,1280551147.00,768330688.20,1,12197,10/01/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.65809,19961,45160.00,46020.0000,No,44200164,55.70,60.00,44198330.00,26518998.00,1,11330,10/01/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.65240,19917,7809.00,7781.0000,No,255060462,55.96,60.00,255054676.00,153032805.60,1,11106,10/01/2021
TOWER,TSEM,1082379,IL0010823792,2.41562,10922,10120.00,10140.0000,No,107923544,100.00,100.00,107544989.00,107544989.00,1,10943,10/01/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.94069,24982,20600.00,20470.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7480,10/01/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.67546,7549,4367.00,4310.0000,No,172859286,84.60,100.00,172859286.00,172859286.00,1,6303,10/01/2021
BEZEQ,BEZQ,230011,IL0002300114,1.62044,9126,330.00,320.4000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,6485,10/01/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.59047,11943,1783.00,1804.0000,No,669828892,59.91,60.00,669828892.00,401897335.20,1,7239,10/01/2021
NOVA,NVMI,1084557,IL0010845571,1.54820,6975,24700.00,24390.0000,No,28240418,90.77,100.00,28240418.00,28240418.00,1,6252,10/01/2021
