Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 30/12/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
MEGA OR,MGOR,1104488,IL0011044885,0.72344,5204,14310.00,14280.0000,No,36364246,61.51,80.00,36364246.00,29091396.80,1,3194,05/12/2021
REIT 1,RIT1,1098920,IL0010989205,0.69408,3995,2227.00,2222.0000,No,184969167,98.28,100.00,179345361.00,179345361.00,1,4039,05/12/2021
DANEL,DANE,314013,IL0003140139,0.67272,3871,71500.00,70400.0000,No,5414159,87.42,100.00,5414159.00,5414159.00,1,3332,05/12/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.66588,8515,8431.00,8440.0000,No,101022998,37.87,45.00,100997082.00,45448686.90,1,3229,05/12/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.66463,8499,7780.00,7680.0000,No,109243485,43.70,45.00,109241880.00,49158846.00,1,3666,05/12/2021
PARTNER,PTNR,1083484,IL0010834849,0.65934,4762,2578.00,2535.0000,No,184718263,73.01,80.00,183966638.00,147173310.40,1,3419,05/12/2021
KENON,KEN,1134139,SG9999012629,0.64043,8190,15200.00,15800.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,3358,05/12/2021
HILAN,HLAN,1084698,IL0010846983,0.63431,4563,20240.00,20850.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,3132,05/12/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.62859,3617,37910.00,38670.0000,No,9541830,99.98,100.00,9541472.00,9541472.00,1,3689,05/12/2021
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.61951,7922,674.90,672.3000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,3535,05/12/2021
MATRIX,MTRX,445015,IL0004450156,0.61350,5884,9400.00,9445.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,3020,05/12/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.60886,5839,10660.00,10830.0000,No,54779020,55.38,60.00,54779020.00,32867412.00,1,3285,05/12/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.54675,6993,3458.00,3490.0000,No,202255647,41.24,45.00,202185744.00,90983584.80,1,2911,05/12/2021
ISRACARD,ISCD,1157403,IL0011574030,0.52690,3032,1516.00,1535.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,3070,05/12/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.52158,5002,14110.00,14220.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2413,05/12/2021
SUMMIT,SMT,1081686,IL0010816861,0.50421,4836,6549.00,6552.0000,No,73839173,47.98,60.00,73839173.00,44303503.80,1,2321,05/12/2021
ENERGIX,ENRG,1123355,IL0011233553,0.50383,6443,1320.00,1325.0000,No,488143881,44.51,45.00,488091881.00,219641346.45,1,2879,05/12/2021
DELEK GROUP,DLEKG,1084128,IL0010841281,0.49538,4751,25980.00,25510.0000,No,18287493,48.03,60.00,18287493.00,10972495.80,1,2241,05/12/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.48953,3521,10900.00,10870.0000,No,32304723,71.03,80.00,32304723.00,25843778.40,1,2494,05/12/2021
ISRAEL CANADA,ISCN,434019,IL0004340191,0.46434,5938,2032.00,2005.0000,No,292215357,41.94,45.00,292215357.00,131496910.65,1,2457,05/12/2021
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.44212,4240,5929.00,6190.0000,No,71517100,51.29,60.00,71517100.00,42910260.00,1,2271,05/12/2021
EQUITAL,EQTL,755017,IL0007550176,0.43867,4207,11580.00,11910.0000,No,36331037,45.67,60.00,36331037.00,21798622.20,1,1976,05/12/2021
