Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 26/07/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,6.40524,59271,93900.00,92900.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.53261,58640,04/07/2021
LEUMI,LUMI,604611,IL0006046119,4.89157,35741,2460.00,2472.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.67452,35912,04/07/2021
POALIM,POLI,662577,IL0006625771,4.82319,34480,2580.00,2576.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.68941,30516,04/07/2021
TEVA,TEVA,629014,IL0006290147,4.17788,32455,2944.00,2930.0000,No,1102426176,99.54,100.00,1096776176.00,1096776176.00,0.6377,32153,04/07/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.17118,20558,15080.00,15100.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,20560,04/07/2021
DISCOUNT,DSCT,691212,IL0006912120,3.58757,17681,1519.00,1519.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,17681,04/07/2021
ICL,ICL,281014,IL0002810146,3.50499,28791,2242.00,2300.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16020,04/07/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.03010,24896,9745.00,9815.0000,No,255472255,58.14,60.00,255410966.00,153246579.60,1,14578,04/07/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.82635,13930,20620.00,20750.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,13098,04/07/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.54230,12532,22380.00,22100.0000,No,55997579,80.29,100.00,55986436.00,55986436.00,1,9936,04/07/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.21157,18166,41100.00,41410.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,10195,04/07/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.15047,30282,24970.00,24700.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9025,04/07/2021
TOWER,TSEM,1082379,IL0010823792,1.94100,9589,8861.00,8815.0000,No,108219239,100.00,100.00,107959222.00,107959222.00,1,9540,04/07/2021
NOVA,NVMI,1084557,IL0010845571,1.81766,8958,31710.00,31780.0000,No,28250933,94.02,100.00,28250933.00,28250933.00,1,8441,04/07/2021
