Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/08/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.35220,39301,2705.00,2728.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.68137,39631,08/08/2021
POALIM,POLI,662577,IL0006625771,5.20007,36913,2762.00,2762.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.70483,32720,08/08/2021
TEVA,TEVA,629014,IL0006290147,5.17431,33766,3063.00,3059.0000,No,1102385659,99.54,100.00,1102426176.00,1102426176.00,0.76667,33567,08/08/2021
NICE,NICE,273011,IL0002730112,5.16777,55099,87290.00,87100.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.46926,54979,08/08/2021
DISCOUNT,DSCT,691212,IL0006912120,3.91088,19567,1681.00,1693.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,19707,08/08/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.62115,18118,13290.00,13070.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,17796,08/08/2021
ICL,ICL,281014,IL0002810146,3.52656,29407,2290.00,2262.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,15755,08/08/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.33936,27847,10900.00,10950.0000,No,255564460,58.16,60.00,255468933.00,153281359.80,1,16276,08/08/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.61536,13085,19370.00,19590.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12366,08/08/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.48703,20739,46920.00,47330.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,11652,08/08/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.44886,12252,21880.00,21690.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,9752,08/08/2021
