Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 04/03/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.20508,30772,2118.00,2167.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.74822,31481,07/02/2021
POALIM,POLI,662577,IL0006625771,5.16754,31981,2394.00,2405.0000,No,1335898103,84.24,100.00,1335898103.00,1335898103.00,0.71474,27065,07/02/2021
TEVA,TEVA,629014,IL0006290147,5.00162,39233,3578.00,3486.0000,No,1096511852,99.59,100.00,1095971556.00,1095971556.00,0.5642,38068,07/02/2021
NICE,NICE,273011,IL0002730112,4.34698,46365,73910.00,72060.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.41472,45205,07/02/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.20056,18581,13630.00,13470.0000,No,136324409,99.91,100.00,136324409.00,136324409.00,1,18346,07/02/2021
DISCOUNT,DSCT,691212,IL0006912120,3.36038,14864,1277.00,1297.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,15097,07/02/2021
ICL,ICL,281014,IL0002810146,3.35404,24731,1931.00,1932.0000,No,1280751147,54.12,60.00,1280551147.00,768330688.20,1,13392,07/02/2021
ORMAT TECHNO,ORA,1134402,US6866881021,3.06523,14958,26720.00,26380.0000,No,55978924,80.32,100.00,55841090.00,55841090.00,0.90873,11861,07/02/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.79881,20634,8090.00,8161.0000,No,255060462,55.96,60.00,255056523.00,153033913.80,1,11648,07/02/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.77303,13605,20140.00,18690.0000,No,67554435,92.97,100.00,66021647.00,66021647.00,0.92251,11738,07/02/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.63914,19457,44020.00,43660.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,10749,07/02/2021
TOWER,TSEM,1082379,IL0010823792,2.40564,10641,9860.00,9399.0000,No,107923544,100.00,100.00,107923544.00,107923544.00,1,10144,07/02/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.86345,23551,19420.00,19600.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7162,07/02/2021
NOVA,NVMI,1084557,IL0010845571,1.80227,7954,28230.00,27400.0000,No,28176862,94.01,100.00,28240418.00,28240418.00,1,7258,07/02/2021
