Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
FORMULA,FORTY,256016,IL0002560162,0.68089,4447,29030.00,27810.0000,No,15317667,62.70,80.00,15317667.00,12254133.60,1,2671,04/09/2022
HILAN,HLAN,1084698,IL0010846983,0.67011,4376,19100.00,18200.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,2781,04/09/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.65550,5708,16100.00,15240.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2585,04/09/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.65389,7592,7500.00,7057.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,2714,04/09/2022
REIT 1,RIT1,1098920,IL0010989205,0.63960,3493,1805.00,1790.0000,No,193507440,98.42,100.00,185132520.00,185132520.00,1,3409,04/09/2022
FOX,FOX,1087022,IL0010870223,0.63053,5490,40220.00,39600.0000,No,13651056,57.08,60.00,13651056.00,8190633.60,1,3086,04/09/2022
ENERGIX,ENRG,1123355,IL0011233553,0.62719,7658,1398.00,1407.0000,No,547767774,47.63,45.00,520875952.00,234394178.40,1,3671,04/09/2022
BAZAN,ORL,2590248,IL0025902482,0.59885,3912,122.00,118.9000,No,3206514812,60.24,80.00,3205713154.00,2564570523.20,1,2297,04/09/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.58934,3079,6894.00,6797.0000,No,44662968,100.00,100.00,44662968.00,44662968.00,1,3036,04/09/2022
MATRIX,MTRX,445015,IL0004450156,0.58433,5088,8090.00,7550.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2436,04/09/2022
MEGA OR,MGOR,1104488,IL0011044885,0.58275,3806,10440.00,9814.0000,No,36453848,61.35,80.00,36453848.00,29163078.40,1,2195,04/09/2022
KENON,KEN,1134139,SG9999012629,0.56761,6590,12230.00,12060.0000,No,53887154,39.54,45.00,53884436.00,24247996.20,1,2570,04/09/2022
CAMTEK,CAMT,1095264,IL0010952641,0.56038,3660,8268.00,8253.0000,No,44263483,61.16,80.00,44263483.00,35410786.40,1,2234,04/09/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.52821,4680,4826.00,4500.0000,No,96975959,56.11,60.00,95305959.00,57183575.40,1,2449,04/09/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.51687,4501,660.80,654.1000,No,681099362,48.55,60.00,681099362.00,408659617.20,1,2163,04/09/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.48233,3150,121.60,120.6000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2415,04/09/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.48111,5595,34750.00,33310.0000,No,16100520,40.12,45.00,16074290.00,7233430.50,1,2152,04/09/2022
CELLCOM,CEL,1101534,IL0011015349,0.45658,2989,1815.00,1721.0000,No,164681069,63.64,80.00,164287950.00,131430360.00,1,1804,04/09/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.44681,2334,3409.00,3354.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,1901,04/09/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.44351,3862,5400.00,5200.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,2199,04/09/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.44243,3853,6990.00,6714.0000,No,55114995,55.41,60.00,55114995.00,33068997.00,1,2050,04/09/2022
RATIO      PU,RATI,394015,IL0003940157,0.43779,2859,254.40,250.4000,No,1123871146,77.48,80.00,1123871146.00,899096916.80,1,2180,04/09/2022
EQUITAL,EQTL,755017,IL0007550176,0.43642,3800,10460.00,10410.0000,No,36331037,50.01,60.00,36331037.00,21798622.20,1,1891,04/09/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.43290,5026,476.90,455.0000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1713,04/09/2022
SUMMIT,SMT,1081686,IL0010816861,0.42425,3694,5000.00,4850.0000,No,73884204,47.77,60.00,73884014.00,44330408.40,1,1712,04/09/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.41639,4835,4423.00,4160.0000,No,109317691,43.74,45.00,109300533.00,49185239.85,1,1989,04/09/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.40515,3528,25610.00,25500.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2096,04/09/2022
DIMRI,DIMRI,1090315,IL0010903156,0.39155,4546,24300.00,22840.0000,No,18707871,36.46,45.00,18707871.00,8418541.95,1,1558,04/09/2022
DANEL,DANE,314013,IL0003140139,0.38854,2174,37480.00,36900.0000,No,5800850,94.97,100.00,5416178.00,5416178.00,1,2033,04/09/2022
ELCO,ELCO,694034,IL0006940345,0.38816,5794,21300.00,19950.0000,No,27203291,34.11,35.00,27203291.00,9521151.85,1,1851,04/09/2022
ISRACARD,ISCD,1157403,IL0011574030,0.37560,1962,980.00,960.3000,No,200243046,99.99,100.00,200243046.00,200243046.00,1,1923,04/09/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.37368,2440,7714.00,7679.0000,No,31636298,78.49,80.00,31636298.00,25309038.40,1,1907,04/09/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.37087,4306,50150.00,48080.0000,No,8586001,35.51,45.00,8586001.00,3863700.45,1,1466,04/09/2022
DELTA GALIL,DELG,627034,IL0006270347,0.36333,4220,16430.00,15990.0000,No,25686228,42.37,45.00,25674859.00,11553686.55,1,1740,04/09/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.35829,1872,862.30,862.3000,No,217085719,97.03,100.00,217085719.00,217085719.00,1,1816,04/09/2022
INROM CONST,INRM,1132356,IL0011323560,0.33877,1770,1415.00,1380.0000,No,125093381,87.00,100.00,125084977.00,125084977.00,1,1502,04/09/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.32419,2820,13000.00,13120.0000,No,21691852,51.53,60.00,21715057.00,13029034.20,1,1467,04/09/2022
