Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 29/06/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.52894,31434,2831.00,2753.0000,No,1110352397,99.48,100.00,1110352397.00,1110352397.00,0.95498,30409,06/06/2022
NICE,NICE,273011,IL0002730112,5.34605,44364,69830.00,68810.0000,No,63531636,100.00,100.00,63476860.00,63476860.00,0.65483,43716,06/06/2022
POALIM,POLI,662577,IL0006625771,4.97974,40172,3005.00,2985.0000,No,1336837006,92.03,100.00,1336485845.00,1336485845.00,0.67321,36724,06/06/2022
LEUMI,LUMI,604611,IL0006046119,4.81631,48738,3157.00,3164.0000,No,1543805097,99.99,100.00,1452896006.00,1452896006.00,0.57011,48841,06/06/2022
ICL,ICL,281014,IL0002810146,4.35494,42476,3300.00,3285.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.92777,23645,06/06/2022
DISCOUNT,DSCT,691212,IL0006912120,4.25140,23083,1866.00,1869.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,23120,06/06/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.59503,32532,73390.00,74390.0000,No,44326891,55.83,60.00,44326891.00,26596134.60,1,18410,06/06/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.29471,29814,11620.00,11670.0000,No,256576199,58.32,60.00,256574035.00,153944421.00,1,17462,06/06/2022
TOWER,TSEM,1082379,IL0010823792,3.21645,17463,16010.00,16170.0000,No,109078276,100.00,100.00,109078276.00,109078276.00,1,17638,06/06/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.60386,14137,25220.00,27220.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,12248,06/06/2022
BEZEQ,BEZQ,230011,IL0002300114,2.16173,14671,530.50,547.5000,No,2765543598,73.19,80.00,2765540626.00,2212432500.80,1,11082,06/06/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.96615,30500,25150.00,24990.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9131,06/06/2022
NOVA,NVMI,1084557,IL0010845571,1.74354,9466,33010.00,31000.0000,No,28677310,100.00,100.00,28677310.00,28677310.00,1,8890,06/06/2022
FIBI BANK,FIBI,593038,IL0005930388,1.45245,13143,13100.00,13200.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6839,06/06/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.44549,7848,4500.00,4520.0000,No,174403669,84.61,100.00,174403669.00,174403669.00,1,6670,06/06/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.36205,12325,160100.00,159800.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,5997,06/06/2022
PHOENIX,PHOE,767012,IL0007670123,1.32680,9005,3583.00,3616.0000,No,251316365,64.15,80.00,251316365.00,201053092.00,1,5830,06/06/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.27883,8679,4901.00,4992.0000,No,177089406,73.06,80.00,177089406.00,141671524.80,1,6459,06/06/2022
MIVNE,MVNE,226019,IL0002260193,1.26761,8603,1071.00,1070.0000,No,803266889,76.01,80.00,803266889.00,642613511.20,1,6533,06/06/2022
MELISRON,MLSR,323014,IL0003230146,1.23390,11166,23520.00,23530.0000,No,47474009,48.45,60.00,47472672.00,28483603.20,1,5412,06/06/2022
