Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 06/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
FORMULA,FORTY,256016,IL0002560162,0.68373,4451,29060.00,29120.0000,No,15317667,62.70,80.00,15317667.00,12254133.60,1,2797,04/09/2022
REIT 1,RIT1,1098920,IL0010989205,0.65760,3580,1850.00,1829.0000,No,193507440,98.42,100.00,185132520.00,185132520.00,1,3483,04/09/2022
HILAN,HLAN,1084698,IL0010846983,0.65708,4278,18670.00,18670.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,2853,04/09/2022
ENERGIX,ENRG,1123355,IL0011233553,0.64536,7855,1434.00,1408.0000,No,547790774,47.63,45.00,520875952.00,234394178.40,1,3674,04/09/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.62752,7263,7175.00,7175.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,2759,04/09/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.62652,5438,15340.00,15390.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2611,04/09/2022
FOX,FOX,1087022,IL0010870223,0.62119,5392,39500.00,40360.0000,No,13651056,57.08,60.00,13651056.00,8190633.60,1,3145,04/09/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.59968,3123,6993.00,7661.0000,No,44662968,100.00,100.00,44662968.00,44662968.00,1,3422,04/09/2022
BAZAN,ORL,2590248,IL0025902482,0.59827,3896,121.50,124.2000,No,3206514812,60.24,80.00,3205713154.00,2564570523.20,1,2399,04/09/2022
CAMTEK,CAMT,1095264,IL0010952641,0.59410,3868,8738.00,8761.0000,No,44263483,61.16,80.00,44263483.00,35410786.40,1,2372,04/09/2022
KENON,KEN,1134139,SG9999012629,0.57032,6601,12250.00,12410.0000,No,53887154,39.54,45.00,53884436.00,24247996.20,1,2644,04/09/2022
MEGA OR,MGOR,1104488,IL0011044885,0.56498,3678,10090.00,9956.0000,No,36453848,61.35,80.00,36453848.00,29163078.40,1,2227,04/09/2022
MATRIX,MTRX,445015,IL0004450156,0.56044,4865,7735.00,7600.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2453,04/09/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.52532,4560,669.50,654.0000,No,681099362,48.55,60.00,681099362.00,408659617.20,1,2163,04/09/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.49506,4373,4509.00,4700.0000,No,96975959,56.11,60.00,95305959.00,57183575.40,1,2557,04/09/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.48942,3186,123.00,123.8000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2479,04/09/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.45554,5281,32800.00,31920.0000,No,16100520,40.12,45.00,16074290.00,7233430.50,1,2062,04/09/2022
CELLCOM,CEL,1101534,IL0011015349,0.45171,2948,1790.00,1822.0000,No,164767611,63.66,80.00,164287950.00,131430360.00,1,1911,04/09/2022
EQUITAL,EQTL,755017,IL0007550176,0.44407,3855,10610.00,10500.0000,No,36331037,50.01,60.00,36331037.00,21798622.20,1,1908,04/09/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.44039,3823,6936.00,6800.0000,No,55114995,55.41,60.00,55114995.00,33068997.00,1,2077,04/09/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.44012,3820,5342.00,5338.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,2258,04/09/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.43677,2275,3322.00,3763.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,2132,04/09/2022
RATIO      PU,RATI,394015,IL0003940157,0.43675,2843,253.00,251.5000,No,1123871146,77.48,80.00,1123871146.00,899096916.80,1,2190,04/09/2022
SUMMIT,SMT,1081686,IL0010816861,0.42558,3694,5000.00,4960.0000,No,73884204,47.77,60.00,73884014.00,44330408.40,1,1751,04/09/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.41052,4752,4347.00,4250.0000,No,109346308,43.76,45.00,109300533.00,49185239.85,1,2034,04/09/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.40977,4743,450.00,454.7000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1712,04/09/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.40373,3505,25440.00,25840.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2124,04/09/2022
ISRACARD,ISCD,1157403,IL0011574030,0.38063,1982,990.00,988.1000,No,200243046,99.99,100.00,200243046.00,200243046.00,1,1978,04/09/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.38030,2476,7826.00,7638.0000,No,31636298,78.49,80.00,31636298.00,25309038.40,1,1897,04/09/2022
ELCO,ELCO,694034,IL0006940345,0.37165,5530,20330.00,20340.0000,No,27203291,34.11,35.00,27203291.00,9521151.85,1,1887,04/09/2022
DANEL,DANE,314013,IL0003140139,0.37084,2069,35660.00,36730.0000,No,5800850,94.97,100.00,5416178.00,5416178.00,1,2023,04/09/2022
DIMRI,DIMRI,1090315,IL0010903156,0.37031,4286,22910.00,23700.0000,No,18707871,36.45,45.00,18707871.00,8418541.95,1,1616,04/09/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.36800,1917,882.90,891.3000,No,217085719,97.03,100.00,217085719.00,217085719.00,1,1877,04/09/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.36254,4196,48870.00,49800.0000,No,8586001,35.51,45.00,8586001.00,3863700.45,1,1518,04/09/2022
DELTA GALIL,DELG,627034,IL0006270347,0.35272,4084,15900.00,16100.0000,No,25686931,42.38,45.00,25674859.00,11553686.55,1,1753,04/09/2022
INROM CONST,INRM,1132356,IL0011323560,0.32879,1713,1369.00,1338.0000,No,125095248,87.00,100.00,125084977.00,125084977.00,1,1456,04/09/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.32771,2841,13100.00,13300.0000,No,21684210,51.51,60.00,21715057.00,13029034.20,1,1486,04/09/2022
RADA,RADA,1082650,IL0010826506,0.32552,1695,3410.00,3431.0000,No,49718045,100.00,100.00,49718045.00,49718045.00,1,1706,04/09/2022
MAGIC,MGIC,1082312,IL0010823123,0.31575,2741,5583.00,5491.0000,No,49093055,53.29,60.00,49093055.00,29455833.00,1,1437,04/09/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.31358,3758,1242.00,1220.0000,No,302584219,43.54,45.00,292215357.00,131496910.65,1,1607,04/09/2022
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.31253,3617,10750.00,10640.0000,No,33647857,46.45,45.00,33647857.00,15141535.65,1,1663,04/09/2022
G CITY,GCT,126011,IL0001260111,0.30435,2642,1586.00,1595.0000,No,166573393,48.41,60.00,166573393.00,99944035.80,1,1286,04/09/2022
TASE,TASE,1159029,IL0011590291,0.29761,1925,1910.00,1920.0000,No,100799078,80.16,80.00,101441612.00,81153289.60,1,1551,04/09/2022
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.29060,2522,85310.00,84440.0000,No,2956844,52.41,60.00,2956844.00,1774106.40,1,1309,04/09/2022
MENORA MIV HLD,MMHD,566018,IL0005660183,0.28851,4277,6903.00,7175.0000,No,61954987,34.05,35.00,62193168.00,21767608.80,1,1514,04/09/2022
VERIDIS,VRDS,1176387,IL0011763872,0.28446,3292,3106.00,3166.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1252,04/09/2022
NETO MALINDA,NTML,1105097,IL0011050973,0.27825,2415,11570.00,11570.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,1171,04/09/2022
NAVITAS PTRO PU,NVPT,1141969,IL0011419699,0.26001,1693,1808.00,1803.0000,No,93625393,74.70,80.00,93625393.00,74900314.40,1,1261,04/09/2022
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.25698,2974,43730.00,42780.0000,No,6801362,37.22,45.00,6801362.00,3060612.90,1,1083,04/09/2022
INFINYA,INFN,632018,IL0006320183,0.24572,2133,32900.00,33210.0000,No,6484639,55.20,60.00,6483228.00,3889936.80,1,1189,04/09/2022
ACRO KVUT,ACRO,1184902,IL0011849028,0.24220,2803,4900.00,4907.0000,No,57209000,36.85,45.00,57209000.00,25744050.00,1,1034,04/09/2022
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.23779,2752,22560.00,22630.0000,No,12199163,41.94,45.00,12199163.00,5489623.35,1,1158,04/09/2022
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.23023,2665,4700.00,4568.0000,No,56694691,40.09,45.00,56694691.00,25512610.95,1,1038,04/09/2022
RETAILORS,RTLS,1175488,IL0011754889,0.23003,3423,7066.00,7050.0000,No,48442922,30.41,35.00,48442922.00,16955022.70,1,1039,04/09/2022
MENIVIM REIT,MNRT,1140573,IL0011405730,0.22972,1196,173.40,177.0000,No,689983944,99.44,100.00,689983944.00,689983944.00,1,1214,04/09/2022
ARGO PROP.,ARGO,1175371,NL0015000D84,0.21966,1430,7900.00,7800.0000,No,18101534,60.27,80.00,18101534.00,14481227.20,1,851,04/09/2022
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.21921,1903,15050.00,15320.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,951,04/09/2022
GILAT,GILT,1082510,IL0010825102,0.21140,1101,1945.00,1921.0000,No,56608016,90.17,100.00,56608016.00,56608016.00,1,981,04/09/2022
LAND DEV,ILDC,612010,IL0006120104,0.20613,1789,4715.00,4620.0000,No,37949827,46.50,60.00,37949827.00,22769896.20,1,815,04/09/2022
GENERATION CAP,GNRS,1156926,IL0011569261,0.20572,1531,121.00,124.2000,No,1264955610,98.90,100.00,1264955610.00,1264955610.00,0.7,1554,04/09/2022
YOCHANANOF,YHNF,1161264,IL0011612640,0.18791,2796,19300.00,19250.0000,No,14487860,32.07,35.00,14487860.00,5070751.00,1,894,04/09/2022
PRASHKOVSKY,PRSK,1102128,IL0011021289,0.18349,2124,10080.00,10090.0000,No,21068551,35.05,45.00,21068551.00,9480847.95,1,745,04/09/2022
AURA,AURA,373019,IL0003730194,0.18201,1580,616.00,610.7000,No,256484210,48.47,60.00,256484210.00,153890526.00,1,759,04/09/2022
MEDITR TOWER,MDTR,1131523,IL0011315236,0.17464,1516,1008.00,999.2000,No,150393415,50.88,60.00,150393415.00,90236049.00,1,765,04/09/2022
IES,IES,431015,IL0004310152,0.17273,1499,25760.00,24600.0000,No,5820368,48.43,60.00,5820368.00,3492220.80,1,693,04/09/2022
ISRAS,ISRS,613034,IL0006130343,0.17164,3576,66170.00,64840.0000,No,5403896,29.99,25.00,5403896.00,1350974.00,1,1051,04/09/2022
PROPERT & BUIL,PTBL,699017,IL0006990175,0.17128,1982,26850.00,27010.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,734,04/09/2022
AZORIM,AZRM,715011,IL0007150118,0.16839,2506,1189.00,1196.0000,No,210740327,33.97,35.00,210740327.00,73759114.45,1,856,04/09/2022
NOVOLOG,NVLG,1140151,IL0011401515,0.16704,1454,286.00,292.6000,No,508236839,57.50,60.00,506982630.00,304189578.00,1,855,04/09/2022
ISSTA,ISTA,1081074,IL0010810740,0.16041,1492,9452.00,9398.0000,No,15783843,61.50,80.00,15783843.00,12627074.40,0.7,912,04/09/2022
IDI INSUR,IDIN,1129501,IL0011295016,0.16003,1389,9466.00,9502.0000,No,14674913,50.45,60.00,14674913.00,8804947.80,1,703,04/09/2022
DORAL ENERGY,DORL,1166768,IL0011667685,0.15873,2222,1250.00,1244.0000,No,177722867,48.92,45.00,146967000.00,66135150.00,1,1082,04/09/2022
SCOPE,SCOP,288019,IL0002880198,0.15828,1963,16020.00,16020.0000,No,12251872,57.76,60.00,12251872.00,7351123.20,0.7,1134,04/09/2022
TURPAZ,TRPZ,1175611,IL0011756116,0.12900,1920,1918.00,1901.0000,No,100084776,33.89,35.00,100084776.00,35029671.60,1,645,04/09/2022
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.12187,1813,1984.00,2025.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,559,04/09/2022
NAPHTHA,NFTA,643015,IL0006430156,0.11410,1698,1803.00,1854.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,572,04/09/2022
POLYRAM PLS,POLP,1170216,IL0011702169,0.11335,1312,1230.00,1235.0000,No,106659600,42.74,45.00,106659600.00,47996820.00,1,563,04/09/2022
NAYAX,NYAX,1175116,IL0011751166,0.10579,2756,8380.00,7995.0000,No,32882230,22.52,20.00,32873314.00,6574662.80,1,592,11/09/2022
ALTSHULER FIN,ALTF,1184936,IL0011849366,0.10436,1553,787.70,786.2000,No,197203360,30.08,35.00,197153916.00,69003870.60,1,466,04/09/2022
PLASSON INDUS,PLSN,1081603,IL0010816036,0.10369,1543,16160.00,16010.0000,No,9547955,30.85,35.00,9547955.00,3341784.25,1,472,04/09/2022
HAGAG,HGG,823013,IL0008230133,0.10051,1162,1937.00,1988.0000,No,59964474,35.79,45.00,60056691.00,27025510.95,1,427,04/09/2022
DANYA CEBUS,DNYA,1173137,IL0011731374,0.09879,2573,8253.00,8340.0000,No,31173177,24.66,20.00,31173177.00,6234635.40,1,641,04/09/2022
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.08522,1268,8805.00,8957.0000,No,14401750,30.16,35.00,14401750.00,5040612.50,1,389,04/09/2022
DUNIEC,DUNI,400010,IL0004000100,0.08210,1745,19340.00,19700.0000,No,9025298,30.05,35.00,9023888.00,3158360.80,0.7,534,04/09/2022
ILEX MEDICAL,ILX,1080753,IL0010807530,0.08052,932,8261.00,8493.0000,No,11280622,38.06,45.00,11280622.00,5076279.90,1,365,04/09/2022
ISRAEL SHIPYARD,ISHI,1168533,IL0011685331,0.07471,1946,7782.00,8047.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,402,04/09/2022
MALAM TEAM,MLTM,156018,IL0001560189,0.06515,1697,7749.00,7800.0000,No,21895230,24.28,20.00,21895230.00,4379046.00,1,415,04/09/2022
DIPLOMAT HOLDI.,DIPL,1173491,IL0011734915,0.05562,1159,4234.00,4240.0000,No,27368420,26.66,25.00,27368420.00,6842105.00,1,309,04/09/2022
DELTA BRANDS,DLTI,1173699,IL0011736993,0.05356,1395,5579.00,5486.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,274,04/09/2022
