Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 31/07/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.37089,35354,3184.00,3200.0000,No,1110552397,99.48,100.00,1110352397.00,1110352397.00,0.8389,35353,10/07/2022
NICE,NICE,273011,IL0002730112,4.93627,44790,70500.00,72230.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.60858,45889,10/07/2022
POALIM,POLI,662577,IL0006625771,4.93109,41656,3116.00,3163.0000,No,1336837006,92.03,100.00,1336837006.00,1336837006.00,0.65368,38914,10/07/2022
LEUMI,LUMI,604611,IL0006046119,4.86572,50143,3248.00,3300.0000,No,1543805097,99.99,100.00,1452896006.00,1452896006.00,0.56937,50940,10/07/2022
DISCOUNT,DSCT,691212,IL0006912120,4.24507,23441,1895.00,1929.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,23862,10/07/2022
ICL,ICL,281014,IL0002810146,4.10002,38975,3028.00,3068.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.96816,22083,10/07/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.73317,34366,77510.00,77890.0000,No,44337770,55.84,60.00,44326891.00,26596134.60,1,19284,10/07/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.45969,31841,12410.00,12410.0000,No,256576199,58.32,60.00,256574035.00,153944421.00,1,18570,10/07/2022
TOWER,TSEM,1082379,IL0010823792,3.17238,17551,16060.00,16220.0000,No,109285552,100.00,100.00,109078276.00,109078276.00,1,17726,10/07/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.87996,15903,28370.00,29480.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,13265,10/07/2022
BEZEQ,BEZQ,230011,IL0002300114,2.31299,15966,577.30,573.2000,No,2765547168,73.19,80.00,2765543598.00,2212434878.40,1,11602,10/07/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.06385,32562,26850.00,26990.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9862,10/07/2022
NOVA,NVMI,1084557,IL0010845571,1.81401,10020,34930.00,35610.0000,No,28685413,100.00,100.00,28677310.00,28677310.00,1,10215,10/07/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.54474,8530,4891.00,4985.0000,No,174403669,84.60,100.00,174403669.00,174403669.00,1,7355,10/07/2022
FIBI BANK,FIBI,593038,IL0005930388,1.54146,14187,14140.00,14150.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7331,10/07/2022
MIVNE,MVNE,226019,IL0002260193,1.32432,8953,1138.00,1156.0000,No,786741865,77.60,80.00,803266889.00,642613511.20,1,7058,10/07/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.31802,7279,760.80,795.0000,No,956761278,98.28,100.00,956639988.00,956639988.00,1,7475,10/07/2022
MELISRON,MLSR,323014,IL0003230146,1.31073,12063,25410.00,25300.0000,No,47474009,48.45,60.00,47474009.00,28484405.40,1,5819,10/07/2022
PHOENIX,PHOE,767012,IL0007670123,1.30236,8990,3577.00,3665.0000,No,251320062,64.15,80.00,251316365.00,201053092.00,1,5909,10/07/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.23632,11378,147800.00,151780.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,5696,10/07/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.20248,8300,4687.00,4876.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,6550,10/07/2022
AMOT,AMOT,1097278,IL0010972789,1.17019,10770,2293.00,2260.0000,No,469678860,45.70,60.00,469678860.00,281807316.00,1,4851,10/07/2022
SHUFERSAL,SAE,777037,IL0007770378,1.05838,5844,2200.00,2115.0000,No,265658112,99.82,100.00,265654749.00,265654749.00,1,5609,10/07/2022
BIG,BIG,1097260,IL0010972607,1.02807,9464,44690.00,45890.0000,No,21177219,49.90,60.00,21171829.00,12703097.40,1,4849,10/07/2022
DELEK GROUP,DLEKG,1084128,IL0010841281,0.99473,9157,50040.00,53000.0000,No,18303222,48.09,60.00,18295063.00,10977037.80,1,4665,10/07/2022
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.91447,11222,956.00,995.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,5232,10/07/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,0.87511,8049,6479.00,6630.0000,No,124233780,52.31,60.00,124308481.00,74585088.60,1,4309,10/07/2022
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.87254,10707,2997.00,3080.0000,No,357270813,39.72,45.00,357261237.00,160767556.65,1,4371,10/07/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.84861,10416,8955.00,9139.0000,No,116312440,42.89,45.00,116286668.00,52329000.60,1,4559,10/07/2022
ELECTRA,ELTR,739037,IL0007390375,0.83605,7728,201500.00,202400.0000,No,3835258,52.05,60.00,3818604.00,2291162.40,1,4040,10/07/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.80617,5565,817.00,792.0000,No,681099362,48.70,80.00,681099362.00,544879489.60,1,2627,10/07/2022
PAZ OIL,PZOL,1100007,IL0011000077,0.80386,4439,41750.00,41990.0000,No,10632220,91.37,100.00,10632220.00,10632220.00,1,4079,10/07/2022
HAREL,HARL,585018,IL0005850180,0.79322,7273,3436.00,3522.0000,No,211673759,52.62,60.00,212465715.00,127479429.00,1,3923,10/07/2022
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.77350,7118,1575.00,1550.0000,No,451925450,53.36,60.00,451986312.00,271191787.20,1,3738,10/07/2022
FORMULA,FORTY,256016,IL0002560162,0.77330,5346,34900.00,34700.0000,No,15317667,62.70,80.00,15294267.00,12235413.60,1,3333,10/07/2022
PARTNER,PTNR,1083484,IL0010834849,0.71960,4967,2683.00,2790.0000,No,185137147,73.07,80.00,185131679.00,148105343.20,1,3774,10/07/2022
CLAL INSURANCE,CLIS,224014,IL0002240146,0.70407,4860,6562.00,6636.0000,No,74060593,79.80,80.00,74060593.00,59248474.40,1,3922,10/07/2022
REIT 1,RIT1,1098920,IL0010989205,0.65358,3609,1950.00,2000.0000,No,185090386,98.39,100.00,185079891.00,185079891.00,1,3642,10/07/2022
HILAN,HLAN,1084698,IL0010846983,0.64895,4479,19550.00,19700.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,3010,10/07/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.64433,7907,7811.00,7887.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,3033,10/07/2022
OPC ENERGY,OPCE,1141571,IL0011415713,0.63937,8216,3879.00,3873.0000,No,211813865,42.05,45.00,202262927.00,91018317.15,1,3450,10/07/2022
KENON,KEN,1134139,SG9999012629,0.63672,7813,14500.00,14880.0000,No,53884436,39.54,45.00,53884436.00,24247996.20,1,3170,10/07/2022
FOX,FOX,1087022,IL0010870223,0.63127,5829,42700.00,42500.0000,No,13651056,57.08,60.00,13606183.00,8163709.80,1,3312,10/07/2022
CAMTEK,CAMT,1095264,IL0010952641,0.61896,4272,9744.00,9970.0000,No,43846643,60.79,80.00,43846643.00,35077314.40,1,2657,10/07/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.59978,5520,15570.00,15700.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2663,10/07/2022
MEGA OR,MGOR,1104488,IL0011044885,0.58961,4072,11170.00,11370.0000,No,36453848,61.35,80.00,36435333.00,29148266.40,1,2543,10/07/2022
BAZAN,ORL,2590248,IL0025902482,0.58378,4030,125.70,128.8000,No,3205713154,60.55,80.00,3205713154.00,2564570523.20,1,2500,10/07/2022
MATRIX,MTRX,445015,IL0004450156,0.58306,5366,8532.00,8640.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2788,10/07/2022
ENERGIX,ENRG,1123355,IL0011233553,0.57316,7036,1351.00,1428.0000,No,520796952,44.36,45.00,520606952.00,234273128.40,1,3299,10/07/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.55692,3075,4491.00,4500.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,2550,10/07/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.52453,4827,8760.00,8760.0000,No,55107335,55.41,60.00,55107335.00,33064401.00,1,2675,10/07/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.51633,2914,6525.00,6452.0000,No,44662968,100.00,100.00,43696723.00,43696723.00,1,2882,10/07/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.49473,6073,39100.00,39850.0000,No,15532643,37.93,45.00,15526727.00,6987027.15,1,2348,10/07/2022
SUMMIT,SMT,1081686,IL0010816861,0.48922,4502,6094.00,6240.0000,No,73884014,47.96,60.00,73884014.00,44330408.40,1,2211,10/07/2022
EQUITAL,EQTL,755017,IL0007550176,0.46976,4323,11900.00,11990.0000,No,36331037,50.01,60.00,36331037.00,21798622.20,1,2178,10/07/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.45090,5533,525.00,530.0000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1995,10/07/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.43908,4041,4240.00,4374.0000,No,95305959,55.34,60.00,95305959.00,57183575.40,1,2307,10/07/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.42957,3953,5528.00,5598.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,2368,10/07/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.42558,2938,113.40,117.2000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2347,10/07/2022
DIMRI,DIMRI,1090315,IL0010903156,0.42535,5219,27900.00,27600.0000,No,18707871,36.55,45.00,18707871.00,8418541.95,1,1887,10/07/2022
RATIO      PU,RATI,394015,IL0003940157,0.42333,2922,260.00,270.3000,No,1123871146,77.48,80.00,1123871146.00,899096916.80,1,2354,10/07/2022
DANEL,DANE,314013,IL0003140139,0.41670,2302,42500.00,43850.0000,No,5416178,94.61,100.00,5414159.00,5414159.00,1,2247,10/07/2022
ELCO,ELCO,694034,IL0006940345,0.40103,6325,23250.00,23400.0000,No,27203291,34.17,35.00,27213291.00,9524651.85,1,2175,10/07/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.39515,3637,26400.00,26650.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2191,10/07/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.39177,4809,4400.00,4515.0000,No,109300533,43.73,45.00,109259460.00,49166757.00,1,2158,10/07/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.39104,2159,994.70,1010.0000,No,217085719,97.03,100.00,217085719.00,217085719.00,1,2127,10/07/2022
ISRACARD,ISCD,1157403,IL0011574030,0.38076,2103,1050.00,1055.0000,No,200243046,99.99,100.00,200243046.00,200243046.00,1,2112,10/07/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.37705,2603,8190.00,8276.0000,No,31778091,78.59,80.00,31778091.00,25422472.80,1,2067,10/07/2022
G CITY,GCT,126011,IL0001260111,0.37556,3456,2075.00,1970.0000,No,166573393,48.41,60.00,166573393.00,99944035.80,1,1589,10/07/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.36784,3385,15590.00,15600.0000,No,21715057,51.58,60.00,21715057.00,13029034.20,1,1747,10/07/2022
INROM CONST,INRM,1132356,IL0011323560,0.36628,2023,1617.00,1630.0000,No,125084977,87.00,100.00,125084977.00,125084977.00,1,1774,10/07/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.36174,4439,51700.00,52300.0000,No,8586001,35.51,45.00,8586001.00,3863700.45,1,1595,10/07/2022
MAGIC,MGIC,1082312,IL0010823123,0.35820,3297,6723.00,6925.0000,No,49035055,53.24,60.00,49035055.00,29421033.00,1,1808,10/07/2022
VERIDIS,VRDS,1176387,IL0011763872,0.34933,4287,4044.00,4163.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1647,10/07/2022
DELTA GALIL,DELG,627034,IL0006270347,0.34497,4234,16490.00,16630.0000,No,25674859,41.04,45.00,25671456.00,11552155.20,1,1752,10/07/2022
CELLCOM,CEL,1101534,IL0011015349,0.32770,3017,1837.00,1915.0000,No,164209194,54.29,60.00,164177724.00,98506634.40,1,1707,10/07/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.30719,3770,1290.00,1285.0000,No,292215357,41.63,45.00,292215357.00,131496910.65,1,1563,10/07/2022
