Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 09/06/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.68684,32977,2970.00,2884.0000,No,1110352397,99.49,100.00,1110352397.00,1110352397.00,0.95498,31859,06/06/2022
NICE,NICE,273011,IL0002730112,5.12803,43367,68320.00,69310.0000,No,63476860,100.00,100.00,63476860.00,63476860.00,0.65483,43996,06/06/2022
POALIM,POLI,662577,IL0006625771,5.11944,42124,3151.00,3164.0000,No,1336837006,92.03,100.00,1336485845.00,1336485845.00,0.67321,38926,06/06/2022
LEUMI,LUMI,604611,IL0006046119,4.97329,48309,3325.00,3296.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.57011,47883,06/06/2022
ICL,ICL,281014,IL0002810146,4.69146,46672,3626.00,3445.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.92777,24796,06/06/2022
DISCOUNT,DSCT,691212,IL0006912120,4.35579,24122,1950.00,1956.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,24196,06/06/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.35174,30936,69790.00,69240.0000,No,44326891,55.83,60.00,44326891.00,26596134.60,1,17135,06/06/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.27468,30224,11780.00,11600.0000,No,256574035,58.32,60.00,256574035.00,153944421.00,1,17358,06/06/2022
TOWER,TSEM,1082379,IL0010823792,3.14165,17398,15950.00,16090.0000,No,109078276,100.00,100.00,109078276.00,109078276.00,1,17551,06/06/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.80593,15539,27720.00,28100.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,12644,06/06/2022
BEZEQ,BEZQ,230011,IL0002300114,2.11901,14668,530.40,532.0000,No,2765543598,73.19,80.00,2765540626.00,2212432500.80,1,10768,06/06/2022
NOVA,NVMI,1084557,IL0010845571,1.87977,10410,36300.00,35690.0000,No,28677310,100.00,100.00,28677310.00,28677310.00,1,10235,06/06/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.87323,29639,24440.00,24140.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,8821,06/06/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.48469,13703,178000.00,168390.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,6320,06/06/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.48364,8216,4711.00,4590.0000,No,174403669,84.61,100.00,174403669.00,174403669.00,1,6773,06/06/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.43262,9917,5600.00,5541.0000,No,177089406,73.06,80.00,177089406.00,141671524.80,1,7169,06/06/2022
FIBI BANK,FIBI,593038,IL0005930388,1.41857,13093,13050.00,13070.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6772,06/06/2022
PHOENIX,PHOE,767012,IL0007670123,1.25870,8713,3467.00,3425.0000,No,251316365,64.15,80.00,251316365.00,201053092.00,1,5522,06/06/2022
MELISRON,MLSR,323014,IL0003230146,1.22928,11346,23900.00,23420.0000,No,47474009,48.45,60.00,47472672.00,28483603.20,1,5387,06/06/2022
MIVNE,MVNE,226019,IL0002260193,1.21262,8394,1045.00,1022.0000,No,803266889,76.01,80.00,803266889.00,642613511.20,1,6240,06/06/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.11680,6185,646.50,630.7000,No,956639988,98.28,100.00,956639988.00,956639988.00,1,5930,06/06/2022
SHUFERSAL,SAE,777037,IL0007770378,1.09300,6054,2279.00,2273.0000,No,265654749,99.84,100.00,265592983.00,265592983.00,1,6029,06/06/2022
