Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/11/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
CLAL INSURANCE,CLIS,224014,IL0002240146,0.65584,4518,6101.00,6000.0000,No,74060593,79.81,80.00,74060593.00,59248474.40,1,3546,11/10/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.65580,3615,8093.00,7940.0000,No,44662968,100.00,100.00,44662968.00,44662968.00,1,3546,11/10/2022
REIT 1,RIT1,1098920,IL0010989205,0.65127,3590,1855.00,1834.0000,No,193520738,98.35,100.00,193507440.00,193507440.00,1,3491,11/10/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.64336,5910,16670.00,16840.0000,No,35452640,47.85,60.00,35452640.00,21271584.00,1,2857,11/10/2022
FOX,FOX,1087022,IL0010870223,0.64049,5884,43100.00,43710.0000,No,13651056,57.08,60.00,13651056.00,8190633.60,1,3406,11/10/2022
FORMULA,FORTY,256016,IL0002560162,0.63809,4396,28700.00,28100.0000,No,15317667,62.70,80.00,15317667.00,12254133.60,1,2699,11/10/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.63595,7789,7695.00,7632.0000,No,101224675,37.99,45.00,101224675.00,45551103.75,1,2935,11/10/2022
HILAN,HLAN,1084698,IL0010846983,0.61592,4243,18520.00,18220.0000,No,22912677,66.69,80.00,22912677.00,18330141.60,1,2784,11/10/2022
BAZAN,ORL,2590248,IL0025902482,0.61342,4226,131.80,136.0000,No,3206514812,68.67,80.00,3206514812.00,2565211849.60,1,2995,11/10/2022
KENON,KEN,1134139,SG9999012629,0.59615,7302,13550.00,13410.0000,No,53887154,39.54,45.00,53887154.00,24249219.30,1,2857,11/10/2022
MEGA OR,MGOR,1104488,IL0011044885,0.54393,3747,10280.00,10100.0000,No,36453848,61.35,80.00,36453848.00,29163078.40,1,2259,11/10/2022
MATRIX,MTRX,445015,IL0004450156,0.52220,4797,7627.00,7702.0000,No,62894287,51.31,60.00,62894287.00,37736572.20,1,2486,11/10/2022
CAMTEK,CAMT,1095264,IL0010952641,0.51378,3540,7997.00,8022.0000,No,44263483,60.99,80.00,44263483.00,35410786.40,1,2166,11/10/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.48995,4501,660.80,670.0000,No,681099362,48.46,60.00,681099362.00,408659617.20,1,2211,11/10/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.47257,5794,35950.00,34050.0000,No,16115520,40.17,45.00,16100520.00,7245234.00,1,2204,11/10/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.47237,4415,4553.00,4262.0000,No,96975959,56.11,60.00,95305959.00,57183575.40,1,2319,11/10/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.45845,2527,3690.00,3817.0000,No,68477385,82.75,100.00,68477385.00,68477385.00,1,2163,11/10/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.45232,3116,120.30,129.0000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,2583,11/10/2022
EQUITAL,EQTL,755017,IL0007550176,0.43109,3960,10900.00,10900.0000,No,36331037,50.01,60.00,36331037.00,21798622.20,1,1980,11/10/2022
CELLCOM,CEL,1101534,IL0011015349,0.42356,2920,1772.00,1727.0000,No,164767611,63.66,80.00,164681069.00,131744855.20,1,1811,11/10/2022
