Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 28/07/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.12174,33488,3016.00,3184.0000,No,1110352397,99.48,100.00,1110352397.00,1110352397.00,0.8389,35170,10/07/2022
POALIM,POLI,662577,IL0006625771,4.96428,41656,3116.00,3116.0000,No,1336837006,92.03,100.00,1336837006.00,1336837006.00,0.65368,38336,10/07/2022
NICE,NICE,273011,IL0002730112,4.85671,43773,68900.00,70500.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.60858,44790,10/07/2022
LEUMI,LUMI,604611,IL0006046119,4.80798,49217,3188.00,3248.0000,No,1543805097,99.99,100.00,1452896006.00,1452896006.00,0.56937,50138,10/07/2022
DISCOUNT,DSCT,691212,IL0006912120,4.30972,23639,1911.00,1895.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,23441,10/07/2022
ICL,ICL,281014,IL0002810146,4.16851,39361,3058.00,3028.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.96816,21795,10/07/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.75733,34357,77490.00,77510.0000,No,44337770,55.84,60.00,44326891.00,26596134.60,1,19190,10/07/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.46333,31662,12340.00,12410.0000,No,256576199,58.32,60.00,256574035.00,153944421.00,1,18570,10/07/2022
TOWER,TSEM,1082379,IL0010823792,3.17385,17442,15960.00,16060.0000,No,109285552,100.00,100.00,109078276.00,109078276.00,1,17551,10/07/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.88810,15842,28260.00,28370.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,12765,10/07/2022
BEZEQ,BEZQ,230011,IL0002300114,2.30516,15805,571.50,577.3000,No,2765547168,73.19,80.00,2765543598.00,2212434878.40,1,11685,10/07/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.08470,32671,26940.00,26850.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9811,10/07/2022
NOVA,NVMI,1084557,IL0010845571,1.84713,10132,35330.00,34930.0000,No,28685413,100.00,100.00,28677310.00,28677310.00,1,10020,10/07/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.57612,8645,4957.00,4891.0000,No,174403669,84.60,100.00,174403669.00,174403669.00,1,7216,10/07/2022
FIBI BANK,FIBI,593038,IL0005930388,1.54196,14096,14050.00,14140.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7326,10/07/2022
MIVNE,MVNE,226019,IL0002260193,1.34495,9032,1148.00,1138.0000,No,786741865,77.60,80.00,803266889.00,642613511.20,1,6948,10/07/2022
MELISRON,MLSR,323014,IL0003230146,1.33305,12187,25670.00,25410.0000,No,47474009,48.45,60.00,47474009.00,28484405.40,1,5845,10/07/2022
PHOENIX,PHOE,767012,IL0007670123,1.29280,8864,3527.00,3577.0000,No,251320062,64.15,80.00,251316365.00,201053092.00,1,5767,10/07/2022
