Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 01/09/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.69590,33250,2994.00,2913.0000,No,1110552397,99.48,100.00,1110352397.00,1110352397.00,0.99696,32182,08/08/2022
POALIM,POLI,662577,IL0006625771,5.31931,46388,3470.00,3468.0000,No,1336837006,92.03,100.00,1336837006.00,1336837006.00,0.66723,42666,08/08/2022
LEUMI,LUMI,604611,IL0006046119,5.19919,54589,3536.00,3523.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.55419,54383,08/08/2022
NICE,NICE,273011,IL0002730112,4.89707,45889,72230.00,71260.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.62095,45273,08/08/2022
DISCOUNT,DSCT,691212,IL0006912120,4.34749,25297,2045.00,2050.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,25359,08/08/2022
ICL,ICL,281014,IL0002810146,4.24720,41249,3200.00,3191.0000,No,1289017967,55.99,60.00,1287151147.00,772290688.20,1,23030,08/08/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.59814,34955,13600.00,13690.0000,No,257020744,58.40,60.00,256576199.00,153945719.40,1,20549,08/08/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.25942,31617,71310.00,69920.0000,No,44337770,55.84,60.00,44326891.00,26596134.60,1,17311,08/08/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.04042,17610,31560.00,31260.0000,No,55797683,80.18,100.00,56056350.00,56056350.00,1,13985,08/08/2022
TOWER,TSEM,1082379,IL0010823792,2.94121,17114,15660.00,15530.0000,No,109285552,100.00,100.00,109285552.00,109285552.00,1,16972,08/08/2022
BEZEQ,BEZQ,230011,IL0002300114,2.14068,15570,563.00,573.2000,No,2765547168,73.19,80.00,2765547168.00,2212437734.40,1,11602,08/08/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.02426,33653,27750.00,27980.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10224,08/08/2022
NOVA,NVMI,1084557,IL0010845571,1.61850,9420,32840.00,32700.0000,No,28685413,100.00,100.00,28677310.00,28677310.00,1,9380,08/08/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.61823,9416,5399.00,5301.0000,No,174403669,84.60,100.00,174403669.00,174403669.00,1,7821,08/08/2022
FIBI BANK,FIBI,593038,IL0005930388,1.60977,15611,15560.00,15650.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,8108,08/08/2022
PHOENIX,PHOE,767012,IL0007670123,1.39250,10132,4030.00,3957.0000,No,251451003,66.50,80.00,251320062.00,201056049.60,1,6617,08/08/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.34205,8287,816.20,816.0000,No,1015374785,98.38,100.00,956752624.00,956752624.00,1,8151,08/08/2022
MELISRON,MLSR,323014,IL0003230146,1.33691,12970,27310.00,27170.0000,No,47491202,48.47,60.00,47474009.00,28484405.40,1,6254,08/08/2022
MIVNE,MVNE,226019,IL0002260193,1.32829,9661,1228.00,1211.0000,No,786741865,77.60,80.00,786741865.00,629393492.00,1,7393,08/08/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.28600,12472,162000.00,162040.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,6081,08/08/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.23758,9001,5083.00,4998.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,6714,08/08/2022
