Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 26/01/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.34575,47815,3291.00,3411.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.62638,49553,09/01/2022
POALIM,POLI,662577,IL0006625771,5.31744,43568,3260.00,3365.0000,No,1336452973,92.04,100.00,1336452973.00,1336452973.00,0.68379,41392,09/01/2022
TEVA,TEVA,629014,IL0006290147,5.26659,29550,2679.00,2750.0000,No,1103007168,99.52,100.00,1103007168.00,1103007168.00,0.99855,30187,09/01/2022
NICE,NICE,273011,IL0002730112,4.33572,49216,77970.00,77800.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.49357,49108,09/01/2022
DISCOUNT,DSCT,691212,IL0006912120,4.24875,23804,2045.00,2125.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,24735,09/01/2022
ICL,ICL,281014,IL0002810146,4.05281,37844,2947.00,2990.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,20826,09/01/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.25763,30419,11860.00,12300.0000,No,256486473,58.31,60.00,256482725.00,153889635.00,1,18396,09/01/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.43322,22765,51400.00,53200.0000,No,44289767,55.79,60.00,44203756.00,26522253.60,1,13145,09/01/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.31881,12991,23200.00,22330.0000,No,55997579,80.25,100.00,55997579.00,55997579.00,1,10035,09/01/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.19325,35108,28950.00,29730.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10863,09/01/2022
BEZEQ,BEZQ,230011,IL0002300114,2.09604,14679,530.80,539.9000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,10928,09/01/2022
TOWER,TSEM,1082379,IL0010823792,2.09518,11781,10820.00,11070.0000,No,108883257,100.00,100.00,108489058.00,108489058.00,1,12053,09/01/2022
NOVA,NVMI,1084557,IL0010845571,1.82517,10226,35880.00,37660.0000,No,28499895,94.07,100.00,28499895.00,28499895.00,1,10097,09/01/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.76736,9933,5699.00,5930.0000,No,174298445,84.63,100.00,173747801.00,173747801.00,1,8747,09/01/2022
MIVNE,MVNE,226019,IL0002260193,1.50506,10595,1319.00,1338.0000,No,803249696,76.01,80.00,799119757.00,639295805.60,1,8169,09/01/2022
