Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/12/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.35029,43799,68940.00,68250.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.61939,43360,04/12/2022
TEVA,TEVA,629014,IL0006290147,5.11299,33916,3054.00,3015.0000,No,1110552397,99.47,100.00,1110552397.00,1110552397.00,0.76439,33306,04/12/2022
POALIM,POLI,662577,IL0006625771,4.80589,40573,3035.00,3105.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.6006,39147,04/12/2022
LEUMI,LUMI,604611,IL0006046119,4.62536,45095,2921.00,2922.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.52008,45105,04/12/2022
DISCOUNT,DSCT,691212,IL0006912120,4.58652,23256,1880.00,1869.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,23120,04/12/2022
ICL,ICL,281014,IL0002810146,3.88980,32873,2550.00,2613.0000,No,1289146137,55.99,60.00,1289093724.00,773456234.40,1,18860,04/12/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.45670,29212,11360.00,11360.0000,No,257150832,58.42,60.00,257146068.00,154287640.80,1,17066,04/12/2022
TOWER,TSEM,1082379,IL0010823792,3.41921,17337,15820.00,15730.0000,No,109589209,100.00,100.00,109589209.00,109589209.00,1,17238,04/12/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.24851,16545,29520.00,29700.0000,No,56047732,87.95,100.00,55797683.00,55797683.00,1,14640,04/12/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.04346,25720,58000.00,58430.0000,No,44344206,55.84,60.00,44344206.00,26606523.60,1,14468,04/12/2022
BEZEQ,BEZQ,230011,IL0002300114,2.63984,16732,605.00,598.8000,No,2765556155,73.19,80.00,2765547168.00,2212437734.40,1,12120,04/12/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.03334,29457,24290.00,24430.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,8927,04/12/2022
FIBI BANK,FIBI,593038,IL0005930388,1.67993,14197,14150.00,14130.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7321,04/12/2022
NOVA,NVMI,1084557,IL0010845571,1.67239,8480,29460.00,29060.0000,No,28784184,100.00,100.00,28784184.00,28784184.00,1,8365,04/12/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.52583,9671,5461.00,5475.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,7355,04/12/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.48253,7517,740.00,734.0000,No,1015829022,98.38,100.00,1015824459.00,1015824459.00,1,7335,04/12/2022
PHOENIX,PHOE,767012,IL0007670123,1.47284,9335,3698.00,3801.0000,No,252442809,66.64,80.00,252434138.00,201947310.40,1,6394,04/12/2022
MELISRON,MLSR,323014,IL0003230146,1.44764,12234,25760.00,25980.0000,No,47491202,48.47,60.00,47491202.00,28494721.20,1,5980,04/12/2022
MIVNE,MVNE,226019,IL0002260193,1.39027,8812,1120.00,1129.0000,No,786756568,77.60,80.00,786756568.00,629405254.40,1,6893,04/12/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.34443,6817,3793.00,3743.0000,No,179722469,84.61,100.00,179722469.00,179722469.00,1,5692,04/12/2022
AMOT,AMOT,1097278,IL0010972789,1.21925,10304,2193.00,2188.0000,No,469839877,45.72,60.00,469839877.00,281903926.20,1,4700,04/12/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.11139,9397,122000.00,123890.0000,No,7702390,48.73,60.00,7698467.00,4619080.20,1,4650,04/12/2022
SHUFERSAL,SAE,777037,IL0007770378,1.11126,5635,2121.00,2120.0000,No,265658112,99.82,100.00,265658112.00,265658112.00,1,5622,04/12/2022
OPC ENERGY,OPCE,1141571,IL0011415713,1.06568,9006,4013.00,4007.0000,No,224415769,45.30,60.00,224415697.00,134649418.20,1,4074,04/12/2022
BIG,BIG,1097260,IL0010972607,1.05965,8955,37370.00,37100.0000,No,23964168,47.38,60.00,23962720.00,14377632.00,1,4212,04/12/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.94472,10647,9150.00,9000.0000,No,116358405,42.91,45.00,116336927.00,52351617.15,1,4494,04/12/2022
DELEK GROUP,DLEKG,1084128,IL0010841281,0.92236,7795,42450.00,43060.0000,No,18362316,48.08,60.00,18361957.00,11017174.20,1,3802,04/12/2022
PAZ OIL,PZOL,1100007,IL0011000077,0.91634,4646,43700.00,44400.0000,No,10632220,90.31,100.00,10632220.00,10632220.00,1,4263,04/12/2022
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.86375,9733,2724.00,2725.0000,No,357280794,39.72,45.00,357287333.00,160779299.85,1,3867,04/12/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,0.86132,7279,5859.00,5843.0000,No,124233780,52.31,60.00,124233780.00,74540268.00,1,3797,04/12/2022
