Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 07/02/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,4.98561,29991,2719.00,2691.0000,No,1103007168,99.52,100.00,1103007168.00,1103007168.00,0.94138,29539,06/02/2022
NICE,NICE,273011,IL0002730112,4.96705,51248,81190.00,82300.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.54885,51949,06/02/2022
LEUMI,LUMI,604611,IL0006046119,4.81132,48062,3308.00,3346.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.56689,48609,06/02/2022
POALIM,POLI,662577,IL0006625771,4.81098,44036,3295.00,3328.0000,No,1336452973,92.04,100.00,1336452973.00,1336452973.00,0.61867,40937,06/02/2022
DISCOUNT,DSCT,691212,IL0006912120,4.28990,24293,2087.00,2130.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,24794,06/02/2022
ICL,ICL,281014,IL0002810146,4.12264,39001,3030.00,3054.0000,No,1287151147,54.35,60.00,1284151147.00,770490688.20,1,21365,06/02/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.30185,31164,12150.00,12220.0000,No,256491218,58.31,60.00,256486473.00,153891883.80,1,18276,06/02/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.52412,23828,53800.00,54010.0000,No,44289767,55.79,60.00,44280378.00,26568226.80,1,13345,06/02/2022
TOWER,TSEM,1082379,IL0010823792,2.12658,12042,11060.00,11120.0000,No,108883257,100.00,100.00,108883257.00,108883257.00,1,12108,06/02/2022
BEZEQ,BEZQ,230011,IL0002300114,2.11830,14994,542.20,532.9000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,10786,06/02/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.10472,34053,28080.00,27480.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10041,06/02/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.09638,11884,21200.00,21350.0000,No,56056350,80.27,100.00,55997579.00,55997579.00,1,9607,06/02/2022
NOVA,NVMI,1084557,IL0010845571,1.86515,10591,37060.00,37390.0000,No,28579044,94.09,100.00,28499895.00,28499895.00,1,10054,06/02/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.76821,10013,5745.00,5700.0000,No,174298445,84.63,100.00,174291930.00,174291930.00,1,8408,06/02/2022
MIVNE,MVNE,226019,IL0002260193,1.51194,10756,1339.00,1300.0000,No,803253967,76.01,80.00,799279854.00,639423883.20,1,7937,06/02/2022
