Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 22/12/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.25848,43208,68010.00,68440.0000,No,63531636,100.00,100.00,63531636.00,63531636.00,0.61939,43481,04/12/2022
TEVA,TEVA,629014,IL0006290147,5.15735,34338,3092.00,3256.0000,No,1110552397,99.47,100.00,1110552397.00,1110552397.00,0.76439,35968,04/12/2022
POALIM,POLI,662577,IL0006625771,4.97102,42124,3151.00,3080.0000,No,1336837006,94.31,100.00,1336837006.00,1336837006.00,0.6006,38832,04/12/2022
LEUMI,LUMI,604611,IL0006046119,4.65391,45542,2950.00,2876.0000,No,1543805097,99.99,100.00,1543805097.00,1543805097.00,0.52008,44395,04/12/2022
DISCOUNT,DSCT,691212,IL0006912120,4.46495,22724,1837.00,1812.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,22415,04/12/2022
ICL,ICL,281014,IL0002810146,4.01971,34098,2645.00,2530.0000,No,1289146137,55.99,60.00,1289093724.00,773456234.40,1,18261,04/12/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.46203,29367,11420.00,11100.0000,No,257150832,58.42,60.00,257146068.00,154287640.80,1,16675,04/12/2022
TOWER,TSEM,1082379,IL0010823792,3.38065,17206,15700.00,15580.0000,No,109589209,100.00,100.00,109589209.00,109589209.00,1,17074,04/12/2022
ORMAT TECHNO,ORA,1134402,US6866881021,3.35045,17128,30560.00,30420.0000,No,56047732,87.95,100.00,55797683.00,55797683.00,1,14995,04/12/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.10585,26345,59410.00,58780.0000,No,44344206,55.84,60.00,44344206.00,26606523.60,1,14555,04/12/2022
BEZEQ,BEZQ,230011,IL0002300114,2.56916,16344,591.00,589.9000,No,2765556155,73.19,80.00,2765547168.00,2212437734.40,1,11940,04/12/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.99576,29021,23930.00,23290.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,8510,04/12/2022
FIBI BANK,FIBI,593038,IL0005930388,1.69852,14407,14360.00,14030.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7269,04/12/2022
NOVA,NVMI,1084557,IL0010845571,1.65430,8419,29250.00,28170.0000,No,28784184,100.00,100.00,28784184.00,28784184.00,1,8109,04/12/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.55272,9878,5578.00,5505.0000,No,177089406,75.86,80.00,177089406.00,141671524.80,1,7395,04/12/2022
PHOENIX,PHOE,767012,IL0007670123,1.45626,9265,3670.00,3697.0000,No,252442809,66.64,80.00,252434138.00,201947310.40,1,6219,04/12/2022
MELISRON,MLSR,323014,IL0003230146,1.45010,12300,25900.00,25310.0000,No,47491202,48.47,60.00,47491202.00,28494721.20,1,5826,04/12/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.41913,7223,711.00,708.9000,No,1015829022,98.38,100.00,1015824459.00,1015824459.00,1,7085,04/12/2022
