Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 13/04/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.99764,35913,3255.00,3282.0000,No,1103329696,99.49,100.00,1103329696.00,1103329696.00,1,36027,10/04/2022
NICE,NICE,273011,IL0002730112,4.94415,44123,69510.00,69380.0000,No,63476860,100.00,100.00,63121441.00,63121441.00,0.67475,44040,10/04/2022
POALIM,POLI,662577,IL0006625771,4.93338,42233,3160.00,3144.0000,No,1336485845,92.03,100.00,1336485845.00,1336485845.00,0.69947,38670,10/04/2022
ICL,ICL,281014,IL0002810146,4.91136,49015,3808.00,3928.0000,No,1287151147,54.36,60.00,1287151147.00,772290688.20,1,27484,10/04/2022
LEUMI,LUMI,604611,IL0006046119,4.82981,50372,3467.00,3450.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.57414,50120,10/04/2022
DISCOUNT,DSCT,691212,IL0006912120,3.88594,24728,1999.00,1993.0000,No,1237011293,100.00,100.00,1164016993.00,1164016993.00,1,24654,10/04/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.21008,32036,12490.00,12360.0000,No,256494567,58.31,60.00,256494567.00,153896740.20,1,18486,10/04/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.08894,30827,69600.00,68870.0000,No,44291912,55.79,60.00,44291912.00,26575147.20,1,17018,10/04/2022
TOWER,TSEM,1082379,IL0010823792,2.82395,16940,15530.00,15580.0000,No,109078276,100.00,100.00,108883257.00,108883257.00,1,16994,10/04/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.48363,14872,26530.00,26330.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,11848,10/04/2022
BEZEQ,BEZQ,230011,IL0002300114,2.03065,15199,549.60,543.1000,No,2765540626,73.19,80.00,2765503689.00,2212402951.20,1,10993,10/04/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,1.97415,33774,27850.00,28060.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10253,10/04/2022
NOVA,NVMI,1084557,IL0010845571,1.53397,9185,32140.00,32370.0000,No,28579044,100.00,100.00,28579044.00,28579044.00,1,9251,10/04/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.52615,9142,5243.00,5251.0000,No,174361262,84.60,100.00,174298445.00,174298445.00,1,7746,10/04/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.50886,15058,195600.00,200110.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,7510,10/04/2022
FIBI BANK,FIBI,593038,IL0005930388,1.40042,13976,13930.00,13800.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7150,10/04/2022
PHOENIX,PHOE,767012,IL0007670123,1.35284,10127,4032.00,4051.0000,No,251175427,64.12,80.00,251136857.00,200909485.60,1,6524,10/04/2022
MIVNE,MVNE,226019,IL0002260193,1.28780,9639,1200.00,1195.0000,No,803266889,76.01,80.00,803253967.00,642603173.60,1,7296,10/04/2022
SHUFERSAL,SAE,777037,IL0007770378,1.28633,7710,2903.00,2888.0000,No,265592983,99.83,100.00,265326677.00,265326677.00,1,7657,10/04/2022
MELISRON,MLSR,323014,IL0003230146,1.26009,12576,26490.00,26330.0000,No,47472672,48.45,60.00,47472672.00,28483603.20,1,6056,10/04/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.23621,9253,5225.00,5255.0000,No,177089406,71.02,80.00,177089406.00,141671524.80,1,6609,10/04/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.19552,7166,749.10,743.6000,No,956639988,98.28,100.00,955639988.00,955639988.00,1,6991,10/04/2022
AMOT,AMOT,1097278,IL0010972789,1.08312,10815,2376.00,2400.0000,No,455165286,45.54,60.00,454941892.00,272965135.20,1,4975,10/04/2022
BIG,BIG,1097260,IL0010972607,1.01773,10157,47980.00,48200.0000,No,21169297,49.88,60.00,21168867.00,12701320.20,1,5090,10/04/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.98913,7404,1087.00,1120.0000,No,681099362,60.66,80.00,681099362.00,544879489.60,1,4627,10/04/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.98055,5871,8379.00,8401.0000,No,70073746,83.10,100.00,70073746.00,70073746.00,1,4892,10/04/2022
DELEK GROUP,DLEKG,1084128,IL0010841281,0.94444,9426,51540.00,52850.0000,No,18287793,48.05,60.00,18287493.00,10972495.80,1,4644,10/04/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,0.91684,9150,7350.00,7330.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,4782,10/04/2022
CLAL INSURANCE,CLIS,224014,IL0002240146,0.90041,5392,7280.00,7403.0000,No,74060593,84.99,100.00,74059851.00,74059851.00,1,4660,10/04/2022
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.87799,11683,995.30,992.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,5217,10/04/2022
HAREL,HARL,585018,IL0005850180,0.87674,8745,4110.00,4099.0000,No,212765865,53.02,60.00,212888365.00,127733019.00,1,4624,10/04/2022
PAZ OIL,PZOL,1100007,IL0011000077,0.86632,5187,48790.00,49010.0000,No,10632220,86.69,100.00,10632220.00,10632220.00,1,4517,10/04/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.85089,11325,9739.00,9600.0000,No,116286668,42.88,45.00,116257276.00,52315774.20,1,4787,10/04/2022
ELECTRA,ELTR,739037,IL0007390375,0.84267,8406,220040.00,220000.0000,No,3821429,51.87,60.00,3821918.00,2293150.80,1,4361,10/04/2022
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.81312,8124,1886.00,1875.0000,No,430784513,53.34,60.00,430264523.00,258158713.80,1,4308,10/04/2022
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.80544,10718,3000.00,3037.0000,No,357254227,39.72,45.00,357252341.00,160763553.45,1,4310,10/04/2022
KENON,KEN,1134139,SG9999012629,0.76738,10211,18950.00,18830.0000,No,53884436,39.46,45.00,53884436.00,24247996.20,1,4004,10/04/2022
FOX,FOX,1087022,IL0010870223,0.71604,7146,52520.00,48500.0000,No,13606183,57.27,60.00,13606183.00,8163709.80,1,3779,10/04/2022
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.68848,9162,9051.00,9062.0000,No,101224675,38.00,45.00,101218186.00,45548183.70,1,3486,10/04/2022
FORMULA,FORTY,256016,IL0002560162,0.65489,4902,32050.00,31900.0000,No,15294267,62.64,80.00,15294267.00,12235413.60,1,3056,10/04/2022
REIT 1,RIT1,1098920,IL0010989205,0.64896,3886,2100.00,2091.0000,No,185042590,98.45,100.00,185042590.00,185042590.00,1,3809,10/04/2022
PARTNER,PTNR,1083484,IL0010834849,0.64631,4840,2614.00,2612.0000,No,185155294,73.07,80.00,185064394.00,148051515.20,1,3534,10/04/2022
MEGA OR,MGOR,1104488,IL0011044885,0.59582,4460,12240.00,12190.0000,No,36435333,61.40,80.00,36435333.00,29148266.40,1,2727,10/04/2022
HILAN,HLAN,1084698,IL0010846983,0.59324,4509,19680.00,19390.0000,No,22912677,66.69,80.00,22562677.00,18050141.60,1,2963,10/04/2022
CAMTEK,CAMT,1095264,IL0010952641,0.58810,4415,10070.00,10090.0000,No,43846643,61.20,80.00,43712486.00,34969988.80,1,2708,10/04/2022
PERION NETWORK,PERI,1095819,IL0010958192,0.58223,3560,8146.00,8069.0000,No,43696723,100.00,100.00,42797903.00,42797903.00,1,3526,10/04/2022
ISRACARD,ISCD,1157403,IL0011574030,0.58050,3480,1738.00,1750.0000,No,200243046,99.99,100.00,200000000.00,200000000.00,1,3504,10/04/2022
BAZAN,ORL,2590248,IL0025902482,0.57734,4321,134.80,137.0000,No,3205713154,60.55,80.00,3205713154.00,2564570523.20,1,2659,10/04/2022
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.55276,5516,15560.00,15490.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2628,10/04/2022
SUMMIT,SMT,1081686,IL0010816861,0.54988,5491,7432.00,7510.0000,No,73884014,47.98,60.00,73839173.00,44303503.80,1,2662,10/04/2022
OPC ENERGY,OPCE,1141571,IL0011415713,0.53427,7109,3515.00,3555.0000,No,202255647,41.24,45.00,202255647.00,91015041.15,1,2965,10/04/2022
FATTAL HOLD,FTAL,1143429,IL0011434292,0.53276,7091,45850.00,45750.0000,No,15464815,37.66,45.00,15461737.00,6957781.65,1,2665,10/04/2022
MATRIX,MTRX,445015,IL0004450156,0.52531,5243,8337.00,8267.0000,No,62882853,51.30,60.00,62882853.00,37729711.80,1,2667,10/04/2022
EQUITAL,EQTL,755017,IL0007550176,0.51585,5148,14170.00,14200.0000,No,36331037,45.67,60.00,36331037.00,21798622.20,1,2356,10/04/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.48438,6445,5900.00,5680.0000,No,109243485,43.70,45.00,109243485.00,49159568.25,1,2712,10/04/2022
DANEL,DANE,314013,IL0003140139,0.48220,2887,53330.00,52120.0000,No,5414159,94.61,100.00,5414159.00,5414159.00,1,2670,10/04/2022
G CITY,GCT,126011,IL0001260111,0.47853,4776,2906.00,2841.0000,No,164337809,47.71,60.00,164337809.00,98602685.40,1,2228,10/04/2022
ENERGIX,ENRG,1123355,IL0011233553,0.46006,6128,1179.00,1157.0000,No,519769432,44.30,45.00,519232318.00,233654543.10,1,2664,10/04/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.45978,4589,8333.00,8137.0000,No,55065009,55.61,60.00,55065009.00,33039005.40,1,2492,10/04/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.45938,6113,580.00,577.1000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,2173,10/04/2022
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.44634,4461,4753.00,4850.0000,Yes,93852170,55.03,60.00,93718469.00,56231081.40,1,2505,10/04/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.41994,4191,19100.00,19060.0000,No,21942049,52.08,60.00,21942049.00,13165229.40,1,2178,10/04/2022
DELTA GALIL,DELG,627034,IL0006270347,0.41491,5528,21540.00,21640.0000,No,25665611,41.02,45.00,25631286.00,11534078.70,1,2278,10/04/2022
MENORA MIV HLD,MMHD,566018,IL0005660183,0.40645,5403,8548.00,8525.0000,No,63206850,35.35,45.00,63271931.00,28472368.95,1,1905,10/04/2022
DIMRI,DIMRI,1090315,IL0010903156,0.40519,5392,28820.00,29100.0000,No,18707871,36.85,45.00,18707871.00,8418541.95,1,2006,10/04/2022
ELCO,ELCO,694034,IL0006940345,0.40071,6855,25080.00,24700.0000,No,27334263,34.48,35.00,27334263.00,9566992.05,1,2328,10/04/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.39968,5318,1820.00,1791.0000,No,292215357,41.69,45.00,292215357.00,131496910.65,1,2182,10/04/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.39408,2360,1087.00,1083.0000,No,217085719,97.07,100.00,217085719.00,217085719.00,1,2282,10/04/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.39356,3928,5492.00,5438.0000,No,71517100,55.03,60.00,71517100.00,42910260.00,1,2140,10/04/2022
RADA,RADA,1082650,IL0010826506,0.39247,2350,4757.00,4790.0000,No,49402847,100.00,100.00,49402847.00,49402847.00,1,2366,10/04/2022
RATIO      PU,RATI,394015,IL0003940157,0.36622,2741,243.90,236.6000,No,1123871146,77.48,80.00,1123871146.00,899096916.80,1,2060,10/04/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.36524,3645,26460.00,26010.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2138,10/04/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.35195,2634,8106.00,8107.0000,No,32498215,79.06,80.00,32498215.00,25998572.00,1,2083,10/04/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.34508,4592,53480.00,52130.0000,No,8586001,35.53,45.00,8586001.00,3863700.45,1,1590,10/04/2022
NETO MALINDA,NTML,1105097,IL0011050973,0.32778,3271,15670.00,15780.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,1597,10/04/2022
ISRAMCO     PU,ISRA,232017,IL0002320179,0.32740,2451,94.60,94.3000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,1888,10/04/2022
CELLCOM,CEL,1101534,IL0011015349,0.31426,3144,1919.00,1880.0000,No,163816180,54.18,60.00,163433446.00,98060067.60,1,1669,10/04/2022
VERIDIS,VRDS,1176387,IL0011763872,0.30908,4113,3880.00,3841.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1519,10/04/2022
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.29709,2965,23450.00,23650.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,1469,10/04/2022
INROM CONST,INRM,1132356,IL0011323560,0.29684,1777,1421.00,1450.0000,Yes,125084977,87.00,100.00,125084977.00,125084977.00,1,1578,10/04/2022
AZORIM,AZRM,715011,IL0007150118,0.27937,3717,1764.00,1722.0000,No,210740327,35.50,45.00,210740327.00,94833147.15,1,1288,10/04/2022
MAGIC,MGIC,1082312,IL0010823123,0.27903,2785,5679.00,5607.0000,No,49035055,53.96,60.00,49035055.00,29421033.00,1,1484,10/04/2022
TASE,TASE,1159029,IL0011590291,0.27555,1661,1618.00,1565.0000,No,102643507,80.52,100.00,101974965.00,101974965.00,1,1293,10/04/2022
ARGO PROP.,ARGO,1175371,NL0015000D84,0.26264,1966,10860.00,11080.0000,No,18101534,60.89,80.00,18101534.00,14481227.20,1,1221,10/04/2022
PROPERT & BUIL,PTBL,699017,IL0006990175,0.25285,3365,45570.00,44580.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,1212,10/04/2022
MENIVIM REIT,MNRT,1140573,IL0011405730,0.25224,1510,218.90,217.7000,No,689983944,99.46,100.00,689983944.00,689983944.00,1,1494,10/04/2022
GILAT,GILT,1082510,IL0010825102,0.24691,1479,2615.00,2578.0000,No,56539237,90.16,100.00,56539237.00,56539237.00,1,1314,10/04/2022
ISRAS,ISRS,613034,IL0006130343,0.24539,4198,77690.00,77000.0000,No,5403896,30.00,35.00,5403896.00,1891363.60,1,1248,10/04/2022
NAVITAS PTRO PU,NVPT,1141969,IL0011419699,0.24511,1835,1960.00,1965.0000,No,93602413,70.60,80.00,93602413.00,74881930.40,1,1299,10/04/2022
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.24456,3191,45200.00,44280.0000,No,7059029,39.51,45.00,7199643.00,3239839.35,1,1235,10/04/2022
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.24243,3226,5669.00,5745.0000,No,56904671,40.31,45.00,56904671.00,25607101.95,1,1318,10/04/2022
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.24103,3297,27030.00,27240.0000,No,12199163,41.94,45.00,11865364.00,5339413.80,1,1394,10/04/2022
RETAILORS,RTLS,1175488,IL0011754889,0.23499,4020,8299.00,7802.0000,No,48442922,30.41,35.00,48442922.00,16955022.70,1,1149,10/04/2022
PRASHKOVSKY,PRSK,1102128,IL0011021289,0.22472,2990,14220.00,13730.0000,No,21028551,35.36,45.00,21028551.00,9462847.95,1,1021,10/04/2022
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.22260,2962,8803.00,8798.0000,No,33647857,43.62,45.00,33647857.00,15141535.65,1,1291,10/04/2022
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.21546,2150,72720.00,72790.0000,No,2956844,52.41,60.00,2956844.00,1774106.40,1,1128,10/04/2022
IES,IES,431015,IL0004310152,0.19479,1944,33400.00,33380.0000,No,5820368,48.43,60.00,5820368.00,3492220.80,1,941,10/04/2022
INFINYA,INFN,632018,IL0006320183,0.17747,1777,27490.00,27300.0000,No,6464638,55.06,60.00,6442750.00,3865650.00,1,972,10/04/2022
YOCHANANOF,YHNF,1161264,IL0011612640,0.16996,2908,20070.00,20010.0000,No,14487860,31.60,35.00,14487860.00,5070751.00,1,916,10/04/2022
AURA,AURA,373019,IL0003730194,0.16991,1696,663.00,675.6000,No,255756210,49.22,60.00,255756210.00,153453726.00,1,850,10/04/2022
ALTSHULER FIN,ALTF,1184936,IL0011849366,0.16828,2880,1462.00,1458.0000,No,196979413,30.13,35.00,196916201.00,68920670.35,1,865,04/04/2022
IDI INSUR,IDIN,1129501,IL0011295016,0.16307,1627,11090.00,10930.0000,No,14674913,50.55,60.00,14674913.00,8804947.80,1,811,10/04/2022
NOVOLOG,NVLG,1140151,IL0011401515,0.15837,1580,311.90,309.7000,No,506723332,57.38,60.00,506723332.00,304033999.20,1,900,10/04/2022
MEDITR TOWER,MDTR,1131523,IL0011315236,0.15793,1579,1050.00,1068.0000,No,150362675,50.87,60.00,150105984.00,90063590.40,1,817,10/04/2022
DORAL ENERGY,DORL,1166768,IL0011667685,0.15463,2058,1400.00,1394.0000,No,146967000,38.23,45.00,146967000.00,66135150.00,1,783,10/04/2022
LAND DEV,ILDC,612010,IL0006120104,0.15347,2042,5693.00,5691.0000,No,35870726,44.51,45.00,35870726.00,16141826.70,1,909,10/04/2022
NAPHTHA,NFTA,643015,IL0006430156,0.14795,2531,2688.00,2730.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,842,10/04/2022
HAGAG,HGG,823013,IL0008230133,0.12602,1679,2800.00,2790.0000,No,59979736,39.01,45.00,59887084.00,26949187.80,1,653,10/04/2022
BATM,BVC,1158823,IL0010849045,0.12469,933,211.90,209.1000,No,440434124,77.31,80.00,440434124.00,352347299.20,1,712,10/04/2022
MAX STOCK,MAXO,1168558,IL0011685588,0.11888,1186,833.50,823.1000,No,142344680,54.81,60.00,142344680.00,85406808.00,1,642,10/04/2022
MALAM TEAM,MLTM,156018,IL0001560189,0.11846,2027,9256.00,9051.0000,No,21895230,30.00,35.00,21895230.00,7663330.50,1,595,10/04/2022
POLYRAM PLS,POLP,1170216,IL0011702169,0.11815,1572,1474.00,1499.0000,No,106659600,42.87,45.00,106659600.00,47996820.00,1,685,10/04/2022
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.11540,1974,2160.00,2175.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,601,10/04/2022
