Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 29/11/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.13117,44110,3036.00,3104.0000,Yes,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.64242,45093,07/11/2021
POALIM,POLI,662577,IL0006625771,4.91257,40628,3040.00,3074.0000,No,1336452973,88.65,100.00,1336452973.00,1336452973.00,0.66776,36420,07/11/2021
NICE,NICE,273011,IL0002730112,4.88078,55490,87910.00,88470.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.48575,55844,07/11/2021
TEVA,TEVA,629014,IL0006290147,4.20046,30145,2733.00,2727.0000,No,1103007168,99.52,100.00,1102385659.00,1102385659.00,0.76995,29935,07/11/2021
DISCOUNT,DSCT,691212,IL0006912120,4.07429,22500,1933.00,1975.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,22989,07/11/2021
ICL,ICL,281014,IL0002810146,3.99299,36752,2862.00,2852.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,19865,07/11/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.23171,29752,11600.00,11710.0000,No,256482295,58.31,60.00,256426213.00,153855727.80,1,17513,07/11/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,2.98196,16468,12080.00,11850.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,16133,07/11/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.47108,13647,24370.00,24350.0000,No,55997579,80.25,100.00,55997579.00,55997579.00,1,10942,07/11/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.29322,21107,47750.00,47100.0000,No,44203756,55.70,60.00,44203756.00,26522253.60,1,11597,07/11/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.24120,35363,29160.00,29090.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10629,07/11/2021
TOWER,TSEM,1082379,IL0010823792,2.19825,12140,11190.00,11220.0000,No,108489058,100.00,100.00,108489058.00,108489058.00,1,12172,07/11/2021
NOVA,NVMI,1084557,IL0010845571,2.05849,11426,40090.00,41000.0000,No,28499895,94.07,100.00,28356397.00,28356397.00,1,10992,07/11/2021
BEZEQ,BEZQ,230011,IL0002300114,1.79874,12417,449.00,451.8000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,9145,07/11/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.69388,9355,5385.00,5435.0000,No,173714485,84.57,100.00,173714485.00,173714485.00,1,7985,07/11/2021
LIVEPERSON,LPSN,1123017,US5381461012,1.57799,8715,12900.00,12700.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,8017,07/11/2021
MIVNE,MVNE,226019,IL0002260193,1.45859,10069,1260.00,1277.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,7793,07/11/2021
MELISRON,MLSR,323014,IL0003230146,1.40666,12951,27280.00,27450.0000,No,47472672,48.45,60.00,47460339.00,28476203.40,1,6314,07/11/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.37947,7620,824.00,834.5000,No,924718585,98.23,100.00,924537018.00,924537018.00,1,7580,07/11/2021
FIBI BANK,FIBI,593038,IL0005930388,1.37890,12692,12650.00,12780.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6621,07/11/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.31687,8984,1319.00,1312.0000,No,681099362,60.28,80.00,689204537.00,551363629.60,1,5387,07/11/2021
SHUFERSAL,SAE,777037,IL0007770378,1.22513,6766,2550.00,2569.0000,No,265326677,99.94,100.00,265326677.00,265326677.00,1,6812,07/11/2021
BIG,BIG,1097260,IL0010972607,1.08725,10007,47350.00,47560.0000,No,21134810,51.19,60.00,21134810.00,12680886.00,1,5145,07/11/2021
PHOENIX,PHOE,767012,IL0007670123,1.05562,9717,3849.00,3875.0000,No,252456348,58.78,60.00,252433777.00,151460266.20,1,5750,07/11/2021
ISRAEL CORP,ILCO,576017,IL0005760173,1.04718,9638,125200.00,124640.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,4678,07/11/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.97379,5378,7950.00,8048.0000,No,67647579,84.99,100.00,67644867.00,67644867.00,1,4627,07/11/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.96816,6683,3774.00,3857.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4199,07/11/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.91012,8378,1948.00,1980.0000,No,430064791,53.29,60.00,430028276.00,258016965.60,1,4538,07/11/2021
CAMTEK,CAMT,1095264,IL0010952641,0.89094,6150,14070.00,14360.0000,No,43712486,61.08,80.00,43712486.00,34969988.80,1,3834,07/11/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.88319,8129,6530.00,6560.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,4280,07/11/2021
AMOT,AMOT,1097278,IL0010972789,0.87272,10711,2422.00,2425.0000,No,442221717,43.95,45.00,442207956.00,198993580.20,1,4713,07/11/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.86876,10663,9175.00,9231.0000,No,116223036,42.83,45.00,116204138.00,52291862.10,1,4595,07/11/2021
ELECTRA,ELTR,739037,IL0007390375,0.84708,7797,204000.00,204050.0000,No,3821918,51.88,60.00,3821918.00,2293150.80,1,4046,07/11/2021
FORMULA,FORTY,256016,IL0002560162,0.81488,5625,36780.00,37430.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,3578,07/11/2021
FOX,FOX,1087022,IL0010870223,0.79826,7347,54000.00,56630.0000,No,13606183,53.97,60.00,13606183.00,8163709.80,1,4158,07/11/2021
HAREL,HARL,585018,IL0005850180,0.77542,7132,3340.00,3285.0000,No,213535786,53.19,60.00,213686986.00,128212191.60,1,3731,07/11/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.76814,9427,2640.00,2678.0000,No,357095603,39.69,45.00,357079582.00,160685811.90,1,3796,07/11/2021
MEGA OR,MGOR,1104488,IL0011044885,0.72168,4982,13700.00,13700.0000,No,36364246,61.51,80.00,36364246.00,29091396.80,1,3064,07/11/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.70144,8609,7881.00,8000.0000,No,109241880,43.70,45.00,109227778.00,49152500.10,1,3819,07/11/2021
REIT 1,RIT1,1098920,IL0010989205,0.69320,3837,2139.00,2150.0000,No,179387866,98.23,100.00,178971895.00,178971895.00,1,3789,07/11/2021
DANEL,DANE,314013,IL0003140139,0.68368,3786,69930.00,70370.0000,No,5414159,87.42,100.00,5399200.00,5399200.00,1,3331,07/11/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.67986,3755,39350.00,39200.0000,No,9541472,99.98,100.00,9541472.00,9541472.00,1,3740,07/11/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.66240,6097,11130.00,11200.0000,No,54779020,55.38,60.00,54779020.00,32867412.00,1,3398,07/11/2021
KENON,KEN,1134139,SG9999012629,0.63176,7753,14390.00,14550.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,3093,07/11/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.62134,7625,7550.00,7593.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2903,07/11/2021
HILAN,HLAN,1084698,IL0010846983,0.61719,4261,18900.00,19250.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2892,07/11/2021
MATRIX,MTRX,445015,IL0004450156,0.61342,5646,9020.00,9188.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2938,07/11/2021
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.57656,7076,602.80,616.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,3239,07/11/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.54608,6702,3315.00,3287.0000,No,202185744,41.22,45.00,202160715.00,90972321.75,1,2739,07/11/2021
ENERGIX,ENRG,1123355,IL0011233553,0.53945,6629,1358.00,1379.0000,No,488143881,44.51,45.00,487503633.00,219376634.85,1,2996,07/11/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.53540,4928,13900.00,14100.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2392,07/11/2021
DELEK GROUP,DLEKG,1084128,IL0010841281,0.53534,4928,26950.00,27250.0000,No,18287493,48.03,60.00,18283493.00,10970095.80,1,2393,07/11/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.53385,3638,11260.00,11220.0000,No,32304723,71.03,80.00,32729030.00,26183224.00,1,2575,07/11/2021
PARTNER,PTNR,1083484,IL0010834849,0.52393,3617,1966.00,1999.0000,No,183966638,72.90,80.00,183966638.00,147173310.40,1,2681,07/11/2021
ISRACARD,ISCD,1157403,IL0011574030,0.48709,2690,1345.00,1379.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,2758,07/11/2021
SUMMIT,SMT,1081686,IL0010816861,0.48495,4464,6045.00,6086.0000,No,73839173,47.98,60.00,73839173.00,44303503.80,1,2156,07/11/2021
PERION NETWORK,PERI,1095819,IL0010958192,0.47995,2651,8010.00,7932.0000,No,33090474,82.44,100.00,33090474.00,33090474.00,1,2164,07/11/2021
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.43128,3973,4255.00,4375.0000,No,93376959,54.41,60.00,93293459.00,55976075.40,1,2223,07/11/2021
EQUITAL,EQTL,755017,IL0007550176,0.42038,3869,10650.00,10780.0000,No,36331037,45.67,60.00,36331037.00,21798622.20,1,1789,07/11/2021
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.41736,5122,486.00,499.8000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1882,07/11/2021
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.41523,3822,5344.00,5459.0000,No,71517100,51.29,60.00,71517100.00,42910260.00,1,2002,07/11/2021
DIMRI,DIMRI,1090315,IL0010903156,0.40778,5004,26750.00,27000.0000,No,18707871,36.93,45.00,18707871.00,8418541.95,1,1865,07/11/2021
DELTA GALIL,DELG,627034,IL0006270347,0.40392,4958,19390.00,19350.0000,No,25569170,40.79,45.00,25564628.00,11504082.60,1,2018,07/11/2021
SELLA REAL EST,SLARL,1109644,IL0011096448,0.40131,2324,1079.00,1095.0000,No,215399000,97.33,100.00,205399000.00,205399000.00,1,2296,07/11/2021
ELCO,ELCO,694034,IL0006940345,0.39238,6191,22650.00,22600.0000,No,27334263,34.48,35.00,27334263.00,9566992.05,1,2130,07/11/2021
ISRAEL CANADA,ISCN,434019,IL0004340191,0.38837,4933,1688.00,1690.0000,No,292215357,41.94,45.00,282358986.00,127061543.70,1,2071,07/11/2021
FATTAL HOLD,FTAL,1143429,IL0011434292,0.38766,4758,30770.00,32230.0000,No,15461573,37.64,45.00,15461573.00,6957707.85,1,1876,07/11/2021
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.38739,3566,16250.00,16230.0000,No,21942049,52.08,60.00,21942049.00,13165229.40,1,1855,07/11/2021
RAMI LEVI,RMLI,1104249,IL0011042491,0.38314,3527,25600.00,24500.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2014,07/11/2021
MENORA MIV HLD,MMHD,566018,IL0005660183,0.38080,4673,7386.00,7395.0000,No,63271931,35.42,45.00,63271931.00,28472368.95,1,1657,07/11/2021
