Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 23/03/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,4.99372,51142,3520.00,3562.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.57077,51747,06/03/2022
ICL,ICL,281014,IL0002810146,4.87520,47496,3690.00,3833.0000,No,1287151147,54.36,60.00,1287151147.00,772290688.20,1,26819,06/03/2022
POALIM,POLI,662577,IL0006625771,4.69466,42687,3194.00,3198.0000,No,1336485845,92.04,100.00,1336452973.00,1336452973.00,0.64288,39339,06/03/2022
TEVA,TEVA,629014,IL0006290147,4.44251,28411,2575.00,2620.0000,No,1103329696,99.49,100.00,1103329696.00,1103329696.00,0.91403,28760,06/03/2022
NICE,NICE,273011,IL0002730112,4.16881,45921,72750.00,70790.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.53066,44684,06/03/2022
DISCOUNT,DSCT,691212,IL0006912120,4.06432,23758,2041.00,2032.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,23653,06/03/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.37640,32896,74270.00,73390.0000,No,44291912,55.79,60.00,44289767.00,26573860.20,1,18135,06/03/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.17773,30959,12070.00,12040.0000,No,256494567,58.31,60.00,256491218.00,153894730.80,1,18007,06/03/2022
TOWER,TSEM,1082379,IL0010823792,2.90397,16975,15590.00,15720.0000,No,108883257,100.00,100.00,108883257.00,108883257.00,1,17116,06/03/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.44349,14283,25480.00,25430.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,11443,06/03/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.03318,33956,28000.00,27720.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10129,06/03/2022
BEZEQ,BEZQ,230011,IL0002300114,2.01353,14712,532.00,545.0000,No,2765503689,73.19,80.00,2765485753.00,2212388602.40,1,11031,06/03/2022
NOVA,NVMI,1084557,IL0010845571,1.87743,10974,38400.00,37100.0000,No,28579044,100.00,100.00,28579044.00,28579044.00,1,10603,06/03/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.68681,9860,5657.00,5577.0000,No,174298445,84.63,100.00,174298445.00,174298445.00,1,8227,06/03/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.45319,14157,183900.00,192940.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,7241,06/03/2022
MIVNE,MVNE,226019,IL0002260193,1.43133,10458,1302.00,1293.0000,No,803253967,76.01,80.00,803253967.00,642603173.60,1,7894,06/03/2022
FIBI BANK,FIBI,593038,IL0005930388,1.39234,13565,13520.00,13630.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7062,06/03/2022
PHOENIX,PHOE,767012,IL0007670123,1.38534,10106,4024.00,4048.0000,No,251136857,64.12,80.00,251549321.00,201239456.80,1,6518,06/03/2022
MELISRON,MLSR,323014,IL0003230146,1.32589,12917,27210.00,27080.0000,No,47472672,48.45,60.00,47472672.00,28483603.20,1,6229,06/03/2022
SHUFERSAL,SAE,777037,IL0007770378,1.32087,7721,2910.00,2863.0000,No,265326677,99.86,100.00,265326677.00,265326677.00,1,7586,06/03/2022
