Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 26/09/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.16338,58084,92020.00,92610.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.46479,58457,05/09/2021
LEUMI,LUMI,604611,IL0006046119,5.05107,40492,2787.00,2761.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.65222,40110,05/09/2021
POALIM,POLI,662577,IL0006625771,5.04865,38089,2850.00,2847.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.69304,33726,05/09/2021
TEVA,TEVA,629014,IL0006290147,4.21188,31451,2853.00,2883.0000,No,1102385659,99.54,100.00,1102385659.00,1102385659.00,0.7002,31636,05/09/2021
DISCOUNT,DSCT,691212,IL0006912120,3.89597,20370,1750.00,1730.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,20137,05/09/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.59287,18786,13780.00,13730.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,18693,05/09/2021
ICL,ICL,281014,IL0002810146,3.36870,29356,2286.00,2319.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16152,05/09/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.20728,28021,10940.00,10920.0000,No,256134437,58.25,60.00,255475633.00,153285379.80,1,16292,05/09/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.85280,14916,22080.00,20310.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12820,05/09/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.45164,36624,30200.00,30000.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10962,05/09/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.38087,20749,46940.00,47490.0000,No,44203756,55.70,60.00,44200164.00,26520098.40,1,11693,05/09/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.34548,12263,21900.00,21880.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,9837,05/09/2021
TOWER,TSEM,1082379,IL0010823792,2.08426,10898,10070.00,10300.0000,No,108219239,100.00,100.00,108219239.00,108219239.00,1,11147,05/09/2021
NOVA,NVMI,1084557,IL0010845571,1.85045,9675,34120.00,34800.0000,No,28356397,94.04,100.00,28356397.00,28356397.00,1,9280,05/09/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.70507,8917,5133.00,5108.0000,No,173713785,84.61,100.00,173681404.00,173681404.00,1,7508,05/09/2021
BEZEQ,BEZQ,230011,IL0002300114,1.62907,10647,385.00,388.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7853,05/09/2021
MELISRON,MLSR,323014,IL0003230146,1.47741,12876,27130.00,26690.0000,No,47460339,48.44,60.00,47454878.00,28472926.80,1,6136,05/09/2021
MIVNE,MVNE,226019,IL0002260193,1.40855,9206,1152.00,1143.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,6976,05/09/2021
FIBI BANK,FIBI,593038,IL0005930388,1.35857,11839,11800.00,11610.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6015,05/09/2021
SHUFERSAL,SAE,777037,IL0007770378,1.33654,6989,2634.00,2600.0000,No,265326677,99.92,100.00,265306147.00,265306147.00,1,6893,05/09/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.29812,8484,1231.00,1189.0000,No,689204537,60.79,80.00,689204537.00,551363629.60,1,4982,05/09/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.26865,6634,721.70,722.4000,No,919648944,98.22,100.00,919111762.00,919111762.00,1,6525,05/09/2021
BIG,BIG,1097260,IL0010972607,1.19437,10412,49280.00,49360.0000,No,21127824,51.18,60.00,21120163.00,12672097.80,1,5337,05/09/2021
PHOENIX,PHOE,767012,IL0007670123,1.08587,9466,3750.00,3724.0000,No,252423184,56.14,60.00,252335083.00,151401049.80,1,5277,05/09/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.00634,6577,3714.00,3690.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4017,05/09/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.95046,11050,9509.00,9415.0000,No,116204138,42.82,45.00,116136290.00,52261330.50,1,4685,05/09/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.94586,8244,1917.00,1902.0000,No,430028276,53.28,60.00,429965784.00,257979470.40,1,4358,05/09/2021
CAMTEK,CAMT,1095264,IL0010952641,0.91622,6050,13840.00,14200.0000,No,43712486,61.08,80.00,43266821.00,34613456.80,1,3791,05/09/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.89916,4701,6950.00,7120.0000,No,67644867,84.99,100.00,67644867.00,67644867.00,1,4093,05/09/2021
ELECTRA,ELTR,739037,IL0007390375,0.88249,7739,202500.00,199580.0000,No,3821918,51.88,60.00,3797644.00,2278586.40,1,3957,05/09/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.86400,7529,97800.00,98920.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3617,05/09/2021
HAREL,HARL,585018,IL0005850180,0.84565,7359,3440.00,3392.0000,No,213905323,53.35,60.00,214222623.00,128533573.80,1,3871,05/09/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.84556,7368,5919.00,5900.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3849,05/09/2021
AMOT,AMOT,1097278,IL0010972789,0.82377,10272,2323.00,2311.0000,No,442207956,43.95,45.00,412026802.00,185412060.90,1,4491,05/09/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.79018,9184,2572.00,2541.0000,No,357069511,39.68,45.00,356963752.00,160633688.40,1,3600,05/09/2021
FORMULA,FORTY,256016,IL0002560162,0.74720,4883,31930.00,31410.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,3003,05/09/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.74009,8600,7874.00,7985.0000,No,109223843,43.69,45.00,109208369.00,49143766.05,1,3810,05/09/2021
DANEL,DANE,314013,IL0003140139,0.69156,3616,66970.00,67460.0000,No,5399200,86.88,100.00,5399200.00,5399200.00,1,3164,05/09/2021
REIT 1,RIT1,1098920,IL0010989205,0.66231,3465,1936.00,1948.0000,No,178971895,98.42,100.00,178869132.00,178869132.00,1,3431,05/09/2021
MEGA OR,MGOR,1104488,IL0011044885,0.66206,4327,11900.00,11950.0000,No,36364246,61.51,80.00,36361598.00,29089278.40,1,2673,05/09/2021
FOX,FOX,1087022,IL0010870223,0.64641,5633,41400.00,40710.0000,No,13606183,53.97,60.00,13606183.00,8163709.80,1,2989,05/09/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.63507,7379,7306.00,7315.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2797,05/09/2021
KENON,KEN,1134139,SG9999012629,0.63019,7322,13590.00,13620.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,2895,05/09/2021
MATRIX,MTRX,445015,IL0004450156,0.62851,5477,8750.00,8710.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2785,05/09/2021
HILAN,HLAN,1084698,IL0010846983,0.62809,4105,18210.00,17920.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2692,05/09/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.61042,3192,33450.00,33450.0000,No,9541472,99.98,100.00,9541472.00,9541472.00,1,3191,05/09/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.59718,5204,9500.00,9475.0000,No,54779020,55.38,60.00,54779020.00,32867412.00,1,2874,05/09/2021
ENERGIX,ENRG,1123355,IL0011233553,0.59544,6920,1420.00,1413.0000,No,487301028,44.41,45.00,487211355.00,219245109.75,1,3058,05/09/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.54719,4768,13450.00,13450.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2282,05/09/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.53477,5811,3076.00,3039.0000,No,189601800,41.61,45.00,201998186.00,90899183.70,1,2398,14/09/2021
ISRACARD,ISCD,1157403,IL0011574030,0.53323,2788,1394.00,1377.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,2754,05/09/2021
