Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 26/11/2020
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.58610,28288,1947.00,1960.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.79251,28474,08/11/2020
POALIM,POLI,662577,IL0006625771,5.31579,30218,2262.00,2257.0000,No,1335898103,84.20,100.00,1335898103.00,1335898103.00,0.70599,25387,08/11/2020
TEVA,TEVA,629014,IL0006290147,4.78900,35016,3195.00,3250.0000,No,1095971556,99.59,100.00,1095776094.00,1095776094.00,0.54897,35473,08/11/2020
PERRIGO,PRGO,1130699,IE00BGH1M568,4.77854,21730,15940.00,16080.0000,No,136324409,99.92,100.00,136324409.00,136324409.00,0.88253,21903,08/11/2020
NICE,NICE,273011,IL0002730112,4.54989,48649,77550.00,77780.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.37534,48793,08/11/2020
DISCOUNT,DSCT,691212,IL0006912120,3.32680,13351,1147.00,1163.0000,No,1164016993,99.99,100.00,1164016993.00,1164016993.00,1,13536,08/11/2020
ICL,ICL,281014,IL0002810146,2.98659,19977,1560.00,1597.0000,No,1280551147,54.10,60.00,1280551147.00,768330688.20,1,11064,08/11/2020
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.75878,18453,41750.00,42290.0000,No,44198330,55.70,60.00,44198330.00,26518998.00,1,10411,08/11/2020
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.73893,18320,7183.00,7375.0000,No,255047214,55.96,60.00,255047214.00,153028328.40,1,10526,08/11/2020
TOWER,TSEM,1082379,IL0010823792,2.14674,8615,8011.00,7974.0000,No,107544989,100.00,100.00,107544989.00,107544989.00,1,8576,08/11/2020
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.10680,24158,19920.00,20440.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7469,08/11/2020
BEZEQ,BEZQ,230011,IL0002300114,2.09483,10509,380.00,389.0000,No,2765485753,73.57,80.00,2765485753.00,2212388602.40,1,7914,08/11/2020
ALONY HETZ,ALHE,390013,IL0003900136,1.89008,7585,4390.00,4450.0000,No,172787201,84.58,100.00,172787201.00,172787201.00,1,6503,08/11/2020
ORMAT TECHNO,ORA,1134402,US6866881021,1.71735,12726,24920.00,25540.0000,No,51068590,78.42,80.00,51068590.00,40854872.00,0.67696,10228,08/11/2020
SHUFERSAL,SAE,777037,IL0007770378,1.47217,5908,2480.00,2571.0000,No,238233976,99.99,100.00,238233976.00,238233976.00,1,6124,08/11/2020
LIVEPERSON,LPSN,1123017,US5381461012,1.47048,12016,18200.00,18900.0000,No,66021647,92.84,100.00,66021647.00,66021647.00,0.49113,11585,08/11/2020
NOVA,NVMI,1084557,IL0010845571,1.46574,5914,20940.00,21240.0000,No,28240418,90.77,100.00,28091570.00,28091570.00,1,5445,08/11/2020
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.36776,5489,667.00,668.9000,No,822966282,98.01,100.00,822966282.00,822966282.00,1,5395,08/11/2020
IFF,IFF,1155019,US4595061015,1.35209,40345,37730.00,37440.0000,No,106933358,77.36,80.00,106931893.00,85545514.40,0.16812,30972,08/11/2020
STRAUSS GROUP,STRS,746016,IL0007460160,1.31298,11716,10090.00,10170.0000,No,116111933,42.77,45.00,116051679.00,52223255.55,1,5051,08/11/2020
MIVNE,MVNE,226019,IL0002260193,1.31276,6586,810.10,837.0000,No,812930670,73.01,80.00,812930670.00,650344536.00,1,4968,08/11/2020
OPKO HEALTH,OPK,1129543,US68375N1037,1.29170,8708,1300.00,1335.0000,No,669828892,59.99,80.00,669828892.00,535863113.60,0.74415,5364,08/11/2020
FIBI BANK,FIBI,593038,IL0005930388,1.25053,8365,8337.00,8300.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,4300,08/11/2020
