Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 08/11/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.07519,44401,3056.00,3054.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.64242,44367,07/11/2021
POALIM,POLI,662577,IL0006625771,4.94627,41631,3115.00,3092.0000,No,1336452973,88.65,100.00,1336452973.00,1336452973.00,0.66776,36633,07/11/2021
NICE,NICE,273011,IL0002730112,4.70320,54417,86210.00,86570.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.48575,54644,07/11/2021
TEVA,TEVA,629014,IL0006290147,4.34945,31767,2880.00,2851.0000,No,1103007168,99.52,100.00,1102385659.00,1102385659.00,0.76995,31296,07/11/2021
DISCOUNT,DSCT,691212,IL0006912120,3.99105,22431,1927.00,1915.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,22291,07/11/2021
ICL,ICL,281014,IL0002810146,3.76456,35263,2746.00,2787.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,19412,07/11/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.50014,19672,14430.00,14760.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,20095,07/11/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.11258,29162,11370.00,11300.0000,No,256479276,58.31,60.00,256426213.00,153855727.80,1,16899,07/11/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.37821,38189,31490.00,31520.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,11517,07/11/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.34044,13154,23490.00,23820.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,10710,07/11/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.31046,21642,48960.00,48640.0000,No,44203756,55.70,60.00,44203756.00,26522253.60,1,11976,07/11/2021
TOWER,TSEM,1082379,IL0010823792,2.15039,12086,11140.00,11150.0000,No,108489058,100.00,100.00,108489058.00,108489058.00,1,12097,07/11/2021
NOVA,NVMI,1084557,IL0010845571,1.96519,11101,38950.00,39450.0000,No,28499895,94.07,100.00,28356397.00,28356397.00,1,10576,07/11/2021
LIVEPERSON,LPSN,1123017,US5381461012,1.83904,10336,15300.00,15500.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,9784,07/11/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.67927,9438,5433.00,5440.0000,No,173714485,84.57,100.00,173714485.00,173714485.00,1,7992,07/11/2021
BEZEQ,BEZQ,230011,IL0002300114,1.58246,11117,402.00,400.1000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,8098,07/11/2021
MELISRON,MLSR,323014,IL0003230146,1.45517,13631,28720.00,28330.0000,No,47460339,48.44,60.00,47460339.00,28476203.40,1,6513,07/11/2021
MIVNE,MVNE,226019,IL0002260193,1.41845,9965,1247.00,1241.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,7574,07/11/2021
FIBI BANK,FIBI,593038,IL0005930388,1.36029,12742,12700.00,12650.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6554,07/11/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.32424,7444,805.00,808.0000,No,924718585,98.23,100.00,924537018.00,924537018.00,1,7339,07/11/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.24886,8670,1273.00,1272.0000,No,681099362,60.28,80.00,689204537.00,551363629.60,1,5222,07/11/2021
SHUFERSAL,SAE,777037,IL0007770378,1.23688,6952,2620.00,2620.0000,No,265326677,99.94,100.00,265326677.00,265326677.00,1,6947,07/11/2021
BIG,BIG,1097260,IL0010972607,1.10197,10322,48840.00,49000.0000,No,21134810,51.19,60.00,21134810.00,12680886.00,1,5301,07/11/2021
PHOENIX,PHOE,767012,IL0007670123,1.06665,9992,3958.00,3924.0000,No,252456348,58.78,60.00,252433777.00,151460266.20,1,5823,07/11/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,1.00368,5641,8339.00,8330.0000,No,67647579,84.99,100.00,67644867.00,67644867.00,1,4789,07/11/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.97671,9149,118840.00,120200.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,4511,07/11/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.96645,6790,3834.00,3857.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4199,07/11/2021
