Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 15/06/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.04498,37485,2580.00,2574.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.67235,37394,06/06/2021
TEVA,TEVA,629014,IL0006290147,5.00110,39385,3591.00,3525.0000,No,1096776176,99.54,100.00,1096776176.00,1096776176.00,0.63434,38484,06/06/2021
POALIM,POLI,662577,IL0006625771,4.82722,36285,2715.00,2686.0000,No,1336452973,88.65,100.00,1335921743.00,1335921743.00,0.66487,31823,06/06/2021
NICE,NICE,273011,IL0002730112,4.75342,46426,73550.00,73450.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.51149,46363,06/06/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.22975,21130,15500.00,15350.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,20901,06/06/2021
DISCOUNT,DSCT,691212,IL0006912120,3.83996,19183,1648.00,1626.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,18927,06/06/2021
ICL,ICL,281014,IL0002810146,3.68771,30704,2391.00,2384.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,16605,06/06/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.12068,26001,10180.00,10140.0000,No,255410966,58.13,60.00,255235176.00,153141105.60,1,15055,06/06/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.61123,13045,19310.00,19070.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12038,06/06/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.60004,12989,23200.00,22490.0000,No,55986436,80.28,100.00,55986436.00,55986436.00,1,10108,06/06/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.24769,18714,42340.00,42860.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,10552,06/06/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.04936,29251,24120.00,23800.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,8696,06/06/2021
TOWER,TSEM,1082379,IL0010823792,1.95599,9771,9051.00,9138.0000,No,107959222,100.00,100.00,107959222.00,107959222.00,1,9865,06/06/2021
NOVA,NVMI,1084557,IL0010845571,1.85771,9280,32850.00,32900.0000,No,28250933,94.02,100.00,28250933.00,28250933.00,1,8739,06/06/2021
BEZEQ,BEZQ,230011,IL0002300114,1.58811,9917,358.60,365.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7388,06/06/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.57858,7886,4541.00,4640.0000,No,173661752,84.60,100.00,173661752.00,173661752.00,1,6817,06/06/2021
SHUFERSAL,SAE,777037,IL0007770378,1.40432,7017,2645.00,2656.0000,No,265303075,99.92,100.00,265233976.00,265233976.00,1,7041,06/06/2021
FIBI BANK,FIBI,593038,IL0005930388,1.30624,10876,10840.00,10860.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,5627,06/06/2021
MIVNE,MVNE,226019,IL0002260193,1.28069,7998,964.00,960.0000,No,829649286,73.56,80.00,829595154.00,663676123.20,1,5859,06/06/2021
MELISRON,MLSR,323014,IL0003230146,1.26644,10544,22220.00,22100.0000,No,47454878,48.43,60.00,47454878.00,28472926.80,1,5079,06/06/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.23635,6176,673.00,667.6000,No,917731176,98.22,100.00,917731176.00,917731176.00,1,6018,06/06/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.05305,8769,2040.00,2030.0000,No,429835718,53.26,60.00,429792959.00,257875775.40,1,4647,06/06/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.03738,6478,3658.00,3710.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4039,06/06/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.98935,8237,107000.00,106740.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3903,06/06/2021
BIG,BIG,1097260,IL0010972607,0.96761,8212,40300.00,40090.0000,No,20376735,49.62,60.00,19990986.00,11994591.60,1,4053,06/06/2021
OPKO HEALTH,OPK,1129543,US68375N1037,0.96426,8028,1198.00,1174.0000,No,670153267,59.69,60.00,670153267.00,402091960.20,1,4696,06/06/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.93263,10354,8915.00,8988.0000,No,116136290,42.79,45.00,116136290.00,52261330.50,1,4467,06/06/2021
PHOENIX,PHOE,767012,IL0007670123,0.92145,7662,3032.00,3045.0000,No,252649689,56.15,60.00,253034524.00,151820714.40,1,4320,06/06/2021
CAMTEK,CAMT,1095264,IL0010952641,0.86471,5400,12480.00,12240.0000,No,43266821,60.75,80.00,43266821.00,34613456.80,1,3217,06/06/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.85470,4270,6312.00,6330.0000,No,67644867,90.17,100.00,67644867.00,67644867.00,1,3861,06/06/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.83595,6960,5591.00,5652.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3688,06/06/2021
HAREL,HARL,585018,IL0005850180,0.82187,6843,3192.00,3209.0000,No,214378773,53.51,60.00,214378773.00,128627263.80,1,3681,06/06/2021
ELECTRA,ELTR,739037,IL0007390375,0.79388,6610,175310.00,177470.0000,No,3770401,51.22,60.00,3770401.00,2262240.60,1,3427,06/06/2021
AMOT,AMOT,1097278,IL0010972789,0.78668,8734,2120.00,2103.0000,No,411961317,42.74,45.00,411945773.00,185375597.85,1,3703,06/06/2021
