Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 15/12/2020
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.34713,28477,1960.00,1933.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.77798,28082,06/12/2020
POALIM,POLI,662577,IL0006625771,4.98825,29911,2239.00,2215.0000,No,1335898103,84.20,100.00,1335898103.00,1335898103.00,0.69097,24915,06/12/2020
TEVA,TEVA,629014,IL0006290147,4.96422,37427,3415.00,3345.0000,No,1095971556,99.59,100.00,1095971556.00,1095971556.00,0.54954,36510,06/12/2020
PERRIGO,PRGO,1130699,IE00BGH1M568,4.55531,21103,15480.00,15290.0000,No,136324409,99.91,100.00,136324409.00,136324409.00,0.89436,20825,06/12/2020
NICE,NICE,273011,IL0002730112,4.48249,49985,79680.00,79830.0000,No,62732298,100.00,100.00,62732298.00,62732298.00,0.37155,50079,06/12/2020
DISCOUNT,DSCT,691212,IL0006912120,3.40786,14120,1213.00,1202.0000,No,1164016993,99.99,100.00,1164016993.00,1164016993.00,1,13990,06/12/2020
LIVEPERSON,LPSN,1123017,US5381461012,3.09614,12828,19430.00,19460.0000,No,66021647,92.84,100.00,66021647.00,66021647.00,1,11928,06/12/2020
ICL,ICL,281014,IL0002810146,2.85767,19733,1541.00,1544.0000,No,1280551147,54.10,60.00,1280551147.00,768330688.20,1,10696,06/12/2020
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.62236,18109,7100.00,7008.0000,No,255054676,55.96,60.00,255047214.00,153028328.40,1,10002,06/12/2020
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.49750,17246,39020.00,38510.0000,No,44198330,55.70,60.00,44198330.00,26518998.00,1,9481,06/12/2020
ORMAT TECHNO,ORA,1134402,US6866881021,2.47699,14027,25120.00,25780.0000,No,55841090,80.27,80.00,51068590.00,40854872.00,1,11556,06/12/2020
TOWER,TSEM,1082379,IL0010823792,2.16739,8980,8350.00,8350.0000,No,107544989,100.00,100.00,107544989.00,107544989.00,1,8980,06/12/2020
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.07759,24594,20280.00,20080.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,7337,06/12/2020
BEZEQ,BEZQ,230011,IL0002300114,2.06382,10689,386.50,349.3000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7070,06/12/2020
ALONY HETZ,ALHE,390013,IL0003900136,1.88709,7821,4525.00,4520.0000,No,172849286,84.58,100.00,172787201.00,172787201.00,1,6608,06/12/2020
NOVA,NVMI,1084557,IL0010845571,1.55474,6442,22810.00,23290.0000,No,28240418,90.77,100.00,28240418.00,28240418.00,1,5970,06/12/2020
SHUFERSAL,SAE,777037,IL0007770378,1.49787,6206,2605.00,2577.0000,No,238233976,99.99,100.00,238233976.00,238233976.00,1,6139,06/12/2020
OPKO HEALTH,OPK,1129543,US68375N1037,1.43756,9927,1482.00,1445.0000,No,669828892,59.95,60.00,669828892.00,401897335.20,1,5803,06/12/2020
MIVNE,MVNE,226019,IL0002260193,1.26593,6603,806.50,808.0000,No,818725670,73.20,80.00,812930670.00,650344536.00,1,4842,06/12/2020
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.25136,5185,630.00,641.8000,No,822966282,98.01,100.00,822966282.00,822966282.00,1,5177,06/12/2020
FIBI BANK,FIBI,593038,IL0005930388,1.25082,8637,8609.00,8485.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,4396,06/12/2020
STRAUSS GROUP,STRS,746016,IL0007460160,1.23207,11346,9772.00,9851.0000,No,116111933,42.77,45.00,116085081.00,52238286.45,1,4892,06/12/2020
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.11426,7335,1805.00,1784.0000,Yes,406361093,52.97,60.00,426280507.00,255768304.20,1,3840,15/12/2020
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.98687,9087,2550.00,2490.0000,No,356334826,39.56,45.00,356324162.00,160345872.90,1,3510,06/12/2020
HAREL,HARL,585018,IL0005850180,0.90435,6245,2913.00,2900.0000,No,214378773,53.51,60.00,214378773.00,128627263.80,1,3327,06/12/2020
MELISRON,MLSR,323014,IL0003230146,0.87590,8065,17000.00,16950.0000,No,47438518,44.41,45.00,47438518.00,21347333.10,1,3571,06/12/2020
ELECTRA,ELTR,739037,IL0007390375,0.87308,6030,159690.00,162880.0000,No,3776195,51.30,60.00,3775399.00,2265239.40,1,3155,06/12/2020
