Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 10/10/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TEVA,TEVA,629014,IL0006290147,5.47575,36048,3270.00,3289.0000,No,1102385659,99.54,100.00,1102385659.00,1102385659.00,0.79931,36091,10/10/2021
LEUMI,LUMI,604611,IL0006046119,4.99772,40289,2773.00,2749.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.65274,39936,10/10/2021
POALIM,POLI,662577,IL0006625771,4.96856,38196,2858.00,2858.0000,No,1336452973,88.62,100.00,1336452973.00,1336452973.00,0.68449,33849,10/10/2021
NICE,NICE,273011,IL0002730112,4.55805,54663,86600.00,85290.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.43877,53836,10/10/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.07262,21430,15720.00,14980.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,20395,10/10/2021
DISCOUNT,DSCT,691212,IL0006912120,3.87562,20394,1752.00,1749.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,20359,10/10/2021
ICL,ICL,281014,IL0002810146,3.70601,32502,2531.00,2560.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,17831,10/10/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.09580,27181,10600.00,10660.0000,No,256426213,58.30,60.00,256134437.00,153680662.20,1,15936,10/10/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.52654,13295,19680.00,19350.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,12214,10/10/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.43060,12790,22840.00,22890.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,10291,10/10/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.35383,20643,46700.00,46700.0000,No,44203756,55.70,60.00,44203756.00,26522253.60,1,11498,10/10/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.34732,35290,29100.00,29440.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10757,10/10/2021
TOWER,TSEM,1082379,IL0010823792,1.95810,10329,9521.00,9429.0000,No,108489058,100.00,100.00,108219239.00,108219239.00,1,10229,10/10/2021
NOVA,NVMI,1084557,IL0010845571,1.73791,9145,32250.00,31650.0000,No,28356397,94.04,100.00,28356397.00,28356397.00,1,8440,10/10/2021
BEZEQ,BEZQ,230011,IL0002300114,1.60736,10572,382.30,388.9000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7872,10/10/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.59551,8396,4833.00,4920.0000,No,173714485,84.57,100.00,173713785.00,173713785.00,1,7228,10/10/2021
MELISRON,MLSR,323014,IL0003230146,1.41352,12397,26120.00,26430.0000,No,47460339,48.44,60.00,47460339.00,28476203.40,1,6076,10/10/2021
MIVNE,MVNE,226019,IL0002260193,1.33520,8782,1099.00,1105.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,6744,10/10/2021
FIBI BANK,FIBI,593038,IL0005930388,1.33277,11688,11650.00,11660.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6041,10/10/2021
SHUFERSAL,SAE,777037,IL0007770378,1.32058,6949,2619.00,2620.0000,No,265326677,99.94,100.00,265326677.00,265326677.00,1,6947,10/10/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.27415,8381,1216.00,1207.0000,No,689204537,60.75,80.00,689204537.00,551363629.60,1,5054,10/10/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.20187,6327,688.00,694.4000,No,919648944,98.22,100.00,919221028.00,919221028.00,1,6272,10/10/2021
BIG,BIG,1097260,IL0010972607,1.08409,9511,45000.00,45950.0000,No,21134810,51.19,60.00,21127824.00,12676694.40,1,4971,10/10/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.03844,6830,3857.00,3945.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4295,10/10/2021
PHOENIX,PHOE,767012,IL0007670123,1.01314,8886,3520.00,3550.0000,No,252433777,56.14,60.00,252423184.00,151453910.40,1,5031,10/10/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.94470,8285,107620.00,109400.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,4106,10/10/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.91267,10672,9184.00,9268.0000,No,116204138,42.82,45.00,116204138.00,52291862.10,1,4612,10/10/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.90026,7895,1836.00,1799.0000,No,430028276,53.28,60.00,430026691.00,258016014.60,1,4122,10/10/2021
ELECTRA,ELTR,739037,IL0007390375,0.87498,7674,200780.00,204040.0000,No,3821918,51.88,60.00,3821918.00,2293150.80,1,4046,10/10/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.86400,4546,6721.00,6721.0000,No,67644867,84.99,100.00,67644867.00,67644867.00,1,3864,10/10/2021
CAMTEK,CAMT,1095264,IL0010952641,0.84667,5569,12740.00,12500.0000,No,43712486,61.08,80.00,43712486.00,34969988.80,1,3337,10/10/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.81151,7117,5717.00,5831.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3804,10/10/2021
HAREL,HARL,585018,IL0005850180,0.80506,7055,3300.00,3340.0000,No,213771791,53.26,60.00,213952323.00,128371393.80,1,3803,10/10/2021
AMOT,AMOT,1097278,IL0010972789,0.79229,9936,2247.00,2263.0000,No,442207956,43.95,45.00,412307956.00,185538580.20,1,4398,10/10/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.76157,8906,2494.00,2543.0000,No,357079582,39.69,45.00,357069511.00,160681279.95,1,3604,10/10/2021
FORMULA,FORTY,256016,IL0002560162,0.75570,4971,32500.00,32500.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,3107,10/10/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.69588,8137,7450.00,7574.0000,No,109227778,43.69,45.00,109223843.00,49150729.35,1,3614,10/10/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.66910,3521,36900.00,36880.0000,No,9541472,99.98,100.00,9541472.00,9541472.00,1,3518,10/10/2021
DANEL,DANE,314013,IL0003140139,0.63627,3348,62010.00,63140.0000,No,5399200,87.38,100.00,5399200.00,5399200.00,1,2979,10/10/2021
MEGA OR,MGOR,1104488,IL0011044885,0.63578,4182,11500.00,11600.0000,No,36364246,61.51,80.00,36364246.00,29091396.80,1,2595,10/10/2021
REIT 1,RIT1,1098920,IL0010989205,0.63568,3345,1869.00,1889.0000,No,178971895,98.42,100.00,178971895.00,178971895.00,1,3327,10/10/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.62619,7322,7250.00,7363.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2815,10/10/2021
FOX,FOX,1087022,IL0010870223,0.62058,5442,40000.00,40750.0000,No,13606183,53.97,60.00,13606183.00,8163709.80,1,2992,10/10/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.61981,5436,9923.00,10260.0000,No,54779020,55.38,60.00,54779020.00,32867412.00,1,3113,10/10/2021
HILAN,HLAN,1084698,IL0010846983,0.59942,3943,17490.00,17480.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2626,10/10/2021
MATRIX,MTRX,445015,IL0004450156,0.59804,5245,8379.00,8440.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2699,10/10/2021
KENON,KEN,1134139,SG9999012629,0.57135,6681,12400.00,12420.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,2640,10/10/2021
ENERGIX,ENRG,1123355,IL0011233553,0.55675,6513,1336.00,1338.0000,No,487503633,44.44,45.00,487301028.00,219285462.60,1,2899,10/10/2021
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.54608,6386,544.00,556.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,2924,10/10/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.53644,4705,13270.00,13270.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,2252,10/10/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.53327,6240,3087.00,3113.0000,No,202140129,41.20,45.00,201998186.00,90899183.70,1,2593,14/09/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.53142,3495,10680.00,10680.0000,No,32729030,71.41,80.00,32729030.00,26183224.00,1,2496,10/10/2021
DELEK GROUP,DLEKG,1084128,IL0010841281,0.51791,4542,25240.00,26240.0000,No,17995583,47.83,60.00,17995583.00,10797349.80,1,2259,10/10/2021
ISRACARD,ISCD,1157403,IL0011574030,0.49411,2600,1300.00,1303.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,2606,10/10/2021
SUMMIT,SMT,1081686,IL0010816861,0.48286,4235,5735.00,5770.0000,No,73839173,47.98,60.00,73839173.00,44303503.80,1,2044,10/10/2021
FATTAL HOLD,FTAL,1143429,IL0011434292,0.44626,5218,33750.00,34000.0000,No,15461573,37.64,45.00,15461573.00,6957707.85,1,1979,10/10/2021
PERION NETWORK,PERI,1095819,IL0010958192,0.44164,2324,7023.00,6970.0000,No,33090474,82.44,100.00,33090474.00,33090474.00,1,1901,10/10/2021
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.42487,4968,471.40,470.0000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1769,10/10/2021
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.42221,3703,3969.00,3934.0000,No,93293459,54.37,60.00,93293459.00,55976075.40,1,1995,10/10/2021
PARTNER,PTNR,1083484,IL0010834849,0.41953,2759,1500.00,1497.0000,No,183966638,72.90,80.00,183966638.00,147173310.40,1,2008,10/10/2021
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.40774,3576,5000.00,5098.0000,No,71517100,51.29,60.00,71517100.00,42910260.00,1,1870,10/10/2021
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.38741,3394,15450.00,15410.0000,No,21965109,52.13,60.00,21991066.00,13194639.60,1,1765,10/10/2021
EQUITAL,EQTL,755017,IL0007550176,0.38108,3342,9199.00,9326.0000,No,36331037,45.67,60.00,36331037.00,21798622.20,1,1547,10/10/2021
SELLA REAL EST,SLARL,1109644,IL0011096448,0.37859,1992,969.90,967.9000,No,205399000,97.21,100.00,205399000.00,205399000.00,1,1933,10/10/2021
INROM CONST,INRM,1132356,IL0011323560,0.37034,1949,1558.00,1580.0000,No,125081503,87.00,100.00,125077994.00,125077994.00,1,1719,10/10/2021
MENORA MIV HLD,MMHD,566018,IL0005660183,0.36480,4266,6742.00,6736.0000,No,63271931,35.42,45.00,63271931.00,28472368.95,1,1510,10/10/2021
RAMI LEVI,RMLI,1104249,IL0011042491,0.36457,3197,23210.00,23280.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,1914,10/10/2021
MAGIC,MGIC,1082312,IL0010823123,0.35672,3128,6380.00,6462.0000,No,49035055,54.37,60.00,49035055.00,29421033.00,1,1723,10/10/2021
ELCO,ELCO,694034,IL0006940345,0.35308,5308,19420.00,19580.0000,No,27334263,34.48,35.00,27334263.00,9566992.05,1,1845,10/10/2021
DIMRI,DIMRI,1090315,IL0010903156,0.34957,4088,21850.00,22600.0000,No,18707871,36.93,45.00,18707871.00,8418541.95,1,1561,10/10/2021
DELTA GALIL,DELG,627034,IL0006270347,0.34794,4069,15920.00,16030.0000,No,25559834,40.77,45.00,25556436.00,11500396.20,1,1670,10/10/2021
ALLOT,ALLT,1099654,IL0010996549,0.34703,1826,5161.00,5165.0000,No,35382638,91.39,100.00,35382638.00,35382638.00,1,1670,10/10/2021
ISRAMCO     PU,ISRA,232017,IL0002320179,0.33476,2202,85.00,86.3000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,1728,10/10/2021
RADA,RADA,1082650,IL0010826506,0.33119,1743,3554.00,3491.0000,No,49035041,100.00,100.00,49035041.00,49035041.00,1,1712,10/10/2021
COMPUGEN,CGEN,1085208,IL0010852080,0.32454,1708,2035.00,2052.0000,No,83917929,99.93,100.00,83917929.00,83917929.00,1,1721,10/10/2021
TASE,TASE,1159029,IL0011590291,0.32335,1701,1678.00,1656.0000,No,101399817,80.28,100.00,101399817.00,101399817.00,1,1348,10/10/2021
ISRAEL CANADA,ISCN,434019,IL0004340191,0.32091,3753,1329.00,1329.0000,No,282358986,23.26,45.00,282358986.00,127061543.70,1,873,10/10/2021
G CITY,GCT,126011,IL0001260111,0.29786,3483,2295.00,2290.0000,No,151764232,44.69,45.00,151764232.00,68293904.40,1,1553,10/10/2021
TADIRAN GROUP,TDRN,258012,IL0002580129,0.28777,3365,39200.00,39400.0000,No,8584304,35.51,45.00,8584304.00,3862936.80,1,1201,10/10/2021
BAZAN,ORL,2590248,IL0025902482,0.28658,2513,78.40,78.5000,No,3205713154,51.55,60.00,3205713154.00,1923427892.40,1,1297,10/10/2021
PROPERT & BUIL,PTBL,699017,IL0006990175,0.27567,3224,43660.00,43710.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,1188,10/10/2021
VERIDIS,VRDS,1176387,IL0011763872,0.27356,4113,3880.00,3868.0000,No,106000000,33.65,35.00,106000000.00,37100000.00,1,1380,10/10/2021
ARGO PROP.,ARGO,1175371,NL0015000D84,0.27245,1792,9900.00,9850.0000,No,18101534,60.31,80.00,18101534.00,14481227.20,1,1075,10/10/2021
RATIO      PU,RATI,394015,IL0003940157,0.25186,1657,147.40,151.9000,No,1123871146,78.26,80.00,1123871146.00,899096916.80,1,1336,10/10/2021
ISRAS,ISRS,613034,IL0006130343,0.25114,3776,69870.00,69980.0000,No,5403896,30.00,35.00,5403896.00,1891363.60,1,1134,10/10/2021
BATM,BVC,1158823,IL0010849045,0.25103,1651,374.90,374.4000,No,440434124,77.31,80.00,440434124.00,352347299.20,1,1275,10/10/2021
MENIVIM REIT,MNRT,1140573,IL0011405730,0.24374,1283,204.40,202.0000,No,627471944,99.41,100.00,627471944.00,627471944.00,1,1260,10/10/2021
GILAT,GILT,1082510,IL0010825102,0.24056,1582,2800.00,2724.0000,No,56510951,72.67,80.00,56510951.00,45208760.80,1,1119,10/10/2021
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.23744,2082,16470.00,16380.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,1017,10/10/2021
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.23500,2748,23720.00,23730.0000,No,11584970,39.72,45.00,11584970.00,5213236.50,1,1092,10/10/2021
GENERATION CAP,GNRS,1156926,IL0011569261,0.23462,1235,97.60,98.3000,No,1264955610,98.95,100.00,1264955610.00,1264955610.00,1,1230,10/10/2021
AZORIM,AZRM,715011,IL0007150118,0.23429,2740,1300.00,1296.0000,No,210740327,35.50,45.00,210740327.00,94833147.15,1,970,10/10/2021
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.22385,2618,4600.00,4552.0000,No,56904671,40.31,45.00,56904671.00,25607101.95,1,1044,10/10/2021
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.21673,2534,35200.00,35130.0000,No,7199643,40.69,45.00,7199643.00,3239839.35,1,1029,10/10/2021
YOCHANANOF,YHNF,1161264,IL0011612640,0.21027,3161,21820.00,21460.0000,No,14487860,30.78,35.00,14487860.00,5070751.00,1,957,10/10/2021
CELLCOM,CEL,1101534,IL0011015349,0.20952,1838,1126.00,1133.0000,No,163190642,54.00,60.00,163190642.00,97914385.20,1,998,10/10/2021
NETO MALINDA,NTML,1105097,IL0011050973,0.20185,1770,8480.00,8707.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,881,10/10/2021
BONUS BIOGROUP,BONS,485011,IL0004850116,0.19596,1719,149.00,148.8000,No,1153422100,48.21,60.00,1153422100.00,692053260.00,1,827,10/10/2021
BRACK CAPIT N V,BCNV,1121607,NL0009690619,0.18553,2789,36080.00,35950.0000,No,7730875,30.19,35.00,7730875.00,2705806.25,1,839,10/10/2021
IDI INSUR,IDIN,1129501,IL0011295016,0.18406,1614,11000.00,11240.0000,No,14674913,50.56,60.00,14674913.00,8804947.80,1,834,10/10/2021
ELECTREON,ELWS,368019,IL0003680191,0.18296,1605,16500.00,16290.0000,No,9724715,47.76,60.00,9724695.00,5834817.00,1,757,10/10/2021
MAX STOCK,MAXO,1168558,IL0011685588,0.18146,1591,1118.00,1123.0000,No,142344680,50.32,60.00,142344680.00,85406808.00,1,804,10/10/2021
FRESHMARKET,FRSM,1157833,IL0011578338,0.17732,2073,1352.00,1360.0000,No,153360000,35.11,45.00,153360000.00,69012000.00,1,732,10/10/2021
INFINYA,INFN,632018,IL0006320183,0.17023,1493,23430.00,24780.0000,No,6372153,54.41,60.00,6371981.00,3823188.60,1,859,10/10/2021
NOVOLOG,NVLG,1140151,IL0011401515,0.16250,1428,281.90,281.8000,No,506491797,57.36,60.00,505559156.00,303335493.60,1,819,10/10/2021
MEDITR TOWER,MDTR,1131523,IL0011315236,0.15964,1400,933.00,923.2000,No,150058927,51.35,60.00,150058927.00,90035356.20,1,711,10/10/2021
NAYAX,NYAX,1175116,IL0011751166,0.15857,4176,1277.00,1273.0000,No,326983944,20.72,20.00,326692568.00,65338513.60,1,862,10/10/2021
