Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 21/02/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,4.97683,50168,3453.00,3485.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.56689,50628,06/02/2022
POALIM,POLI,662577,IL0006625771,4.89049,45172,3380.00,3400.0000,No,1336452973,92.04,100.00,1336452973.00,1336452973.00,0.61867,41822,06/02/2022
TEVA,TEVA,629014,IL0006290147,4.77520,28996,2628.00,2628.0000,No,1103329696,99.52,100.00,1103007168.00,1103007168.00,0.94138,28856,06/02/2022
ICL,ICL,281014,IL0002810146,4.54111,43351,3368.00,3369.0000,No,1287151147,54.35,60.00,1284151147.00,770490688.20,1,23568,06/02/2022
NICE,NICE,273011,IL0002730112,4.47778,46621,73860.00,72850.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.54885,45984,06/02/2022
DISCOUNT,DSCT,691212,IL0006912120,4.35502,24887,2138.00,2167.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,25224,06/02/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.35280,31933,12450.00,12580.0000,No,256491218,58.31,60.00,256486473.00,153891883.80,1,18815,06/02/2022
TOWER,TSEM,1082379,IL0010823792,2.85618,16322,14990.00,15020.0000,No,108883257,100.00,100.00,108883257.00,108883257.00,1,16354,06/02/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.61754,24935,56300.00,56700.0000,No,44289767,55.79,60.00,44280378.00,26568226.80,1,14010,06/02/2022
BEZEQ,BEZQ,230011,IL0002300114,2.10225,15017,543.00,537.0000,No,2765503689,73.19,80.00,2765485753.00,2212388602.40,1,10869,06/02/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.09832,34260,28250.00,28360.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10363,06/02/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.08234,11912,21250.00,21240.0000,No,56056350,80.27,100.00,55997579.00,55997579.00,1,9557,06/02/2022
NOVA,NVMI,1084557,IL0010845571,1.85129,10609,37120.00,37290.0000,No,28579044,100.00,100.00,28499895.00,28499895.00,1,10657,06/02/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.73362,9907,5684.00,5720.0000,No,174298445,84.63,100.00,174291930.00,174291930.00,1,8438,06/02/2022
MIVNE,MVNE,226019,IL0002260193,1.44792,10394,1294.00,1294.0000,No,803253967,76.01,80.00,799279854.00,639423883.20,1,7901,06/02/2022
FIBI BANK,FIBI,593038,IL0005930388,1.42845,13605,13560.00,13770.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,7134,06/02/2022
MELISRON,MLSR,323014,IL0003230146,1.31590,12533,26400.00,26400.0000,No,47472672,48.45,60.00,47472672.00,28483603.20,1,6072,06/02/2022
SHUFERSAL,SAE,777037,IL0007770378,1.28148,7323,2760.00,2774.0000,No,265326677,99.86,100.00,265326677.00,265326677.00,1,7350,06/02/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.25021,11907,154670.00,155900.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,5851,06/02/2022
AMOT,AMOT,1097278,IL0010972789,1.21796,11601,2550.00,2570.0000,No,454941892,45.51,60.00,454902663.00,272941597.80,1,5321,06/02/2022
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.11508,6372,688.80,688.6000,No,925129256,98.22,100.00,925106586.00,925106586.00,1,6257,06/02/2022
BIG,BIG,1097260,IL0010972607,1.09214,10409,49170.00,49770.0000,No,21168867,51.47,60.00,21154577.00,12692746.20,1,5423,06/02/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.07001,7643,4316.00,4377.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,4765,06/02/2022
PHOENIX,PHOE,767012,IL0007670123,1.04739,9924,3950.00,4014.0000,No,251206857,64.13,60.00,252543232.00,151525939.20,1,6467,06/02/2022
AIRPORT CITY,ARPT,1095835,IL0010958358,1.00292,9552,7673.00,7713.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,5032,06/02/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.97830,6988,1026.00,1048.0000,No,681099362,60.81,80.00,681099362.00,544879489.60,1,4341,06/02/2022
ELECTRA,ELTR,739037,IL0007390375,0.96734,9213,241060.00,242500.0000,No,3821918,51.88,60.00,3821918.00,2293150.80,1,4808,06/02/2022
STRAUSS GROUP,STRS,746016,IL0007460160,0.94293,11974,10300.00,10360.0000,No,116257276,42.85,45.00,116253620.00,52314129.00,1,5161,06/02/2022
LIVEPERSON,LPSN,1123017,US5381461012,0.92882,5506,7857.00,7925.0000,No,70073746,93.67,100.00,67554435.00,67554435.00,1,5202,06/02/2022
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.92602,8820,2050.00,2077.0000,No,430264523,53.31,60.00,430222862.00,258133717.20,1,4764,06/02/2022
FOX,FOX,1087022,IL0010870223,0.91673,8731,64170.00,65040.0000,No,13606183,57.27,60.00,13606183.00,8163709.80,1,5068,06/02/2022
