Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 25/07/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,6.25052,57283,90750.00,93900.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.53261,59271,04/07/2021
LEUMI,LUMI,604611,IL0006046119,4.92103,35610,2451.00,2460.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.67452,35738,04/07/2021
POALIM,POLI,662577,IL0006625771,4.82665,34173,2557.00,2580.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.68941,30564,04/07/2021
TEVA,TEVA,629014,IL0006290147,4.21848,32455,2944.00,2944.0000,No,1102426176,99.54,100.00,1096776176.00,1096776176.00,0.6377,32306,04/07/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,4.18099,20408,14970.00,15080.0000,No,136324409,99.88,100.00,136324409.00,136324409.00,1,20533,04/07/2021
DISCOUNT,DSCT,691212,IL0006912120,3.59620,17553,1508.00,1519.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,17681,04/07/2021
ICL,ICL,281014,IL0002810146,3.47275,28251,2200.00,2242.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,15616,04/07/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.02689,24630,9641.00,9745.0000,No,255472255,58.14,60.00,255410966.00,153246579.60,1,14474,04/07/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.83029,13815,20450.00,20620.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,13016,04/07/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.57733,12583,22470.00,22380.0000,No,55997579,80.29,100.00,55986436.00,55986436.00,1,10062,04/07/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.23849,18210,41200.00,41100.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,10119,04/07/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.17919,30391,25060.00,24970.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9124,04/07/2021
TOWER,TSEM,1082379,IL0010823792,1.95986,9589,8861.00,8861.0000,No,108219239,100.00,100.00,107959222.00,107959222.00,1,9589,04/07/2021
NOVA,NVMI,1084557,IL0010845571,1.84632,9012,31900.00,31710.0000,No,28250933,94.02,100.00,28250933.00,28250933.00,1,8423,04/07/2021
BEZEQ,BEZQ,230011,IL0002300114,1.56918,9574,346.20,348.0000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7044,04/07/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.55478,7590,4370.00,4428.0000,No,173681404,84.61,100.00,173661752.00,173661752.00,1,6507,04/07/2021
SHUFERSAL,SAE,777037,IL0007770378,1.37894,6731,2537.00,2554.0000,No,265303075,99.92,100.00,265303075.00,265303075.00,1,6770,04/07/2021
MELISRON,MLSR,323014,IL0003230146,1.33758,10881,22930.00,23330.0000,No,47454878,48.43,60.00,47454878.00,28472926.80,1,5362,04/07/2021
MIVNE,MVNE,226019,IL0002260193,1.30267,7948,958.00,960.7000,No,829649286,73.56,80.00,829649286.00,663719428.80,1,5863,04/07/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.29732,6333,690.00,694.5000,No,917887083,98.22,100.00,917731176.00,917731176.00,1,6261,04/07/2021
FIBI BANK,FIBI,593038,IL0005930388,1.25056,10173,10140.00,10170.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,5269,04/07/2021
BIG,BIG,1097260,IL0010972607,1.07605,9072,42960.00,44170.0000,No,21116941,51.15,60.00,20376735.00,12226041.00,1,4771,04/07/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,1.00073,8143,1894.00,1926.0000,No,429952866,53.28,60.00,429835718.00,257901430.80,1,4412,04/07/2021
OPKO HEALTH,OPK,1129543,US68375N1037,0.98688,8257,1198.00,1195.0000,No,689204537,60.80,60.00,670153267.00,402091960.20,1,5007,04/07/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.95977,10410,8964.00,8886.0000,No,116136290,42.79,45.00,116136290.00,52261330.50,1,4416,04/07/2021
PHOENIX,PHOE,767012,IL0007670123,0.94110,7643,3029.00,3043.0000,No,252327671,56.09,60.00,252756689.00,151654013.40,1,4307,04/07/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.91328,4458,6590.00,6672.0000,No,67644867,86.77,100.00,67644867.00,67644867.00,1,3916,04/07/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.90800,7387,95950.00,98120.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3588,04/07/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.86638,5286,2985.00,3004.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,3271,04/07/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.82986,6751,5423.00,5420.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3536,04/07/2021
HAREL,HARL,585018,IL0005850180,0.82034,6669,3113.00,3129.0000,No,214222623,53.47,60.00,214378773.00,128627263.80,1,3584,04/07/2021
ELECTRA,ELTR,739037,IL0007390375,0.82002,6719,176930.00,180010.0000,No,3797644,51.57,60.00,3770401.00,2262240.60,1,3525,04/07/2021
CAMTEK,CAMT,1095264,IL0010952641,0.81692,4984,11520.00,11440.0000,No,43266821,60.68,80.00,43266821.00,34613456.80,1,3003,04/07/2021
AMOT,AMOT,1097278,IL0010972789,0.81239,8813,2139.00,2157.0000,No,412026802,42.75,45.00,411961317.00,185382592.65,1,3799,04/07/2021
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.78679,8535,2391.00,2414.0000,No,356959352,39.67,45.00,356930114.00,160618551.30,1,3418,04/07/2021
PAZ OIL,PZOL,1100007,IL0011000077,0.76901,3754,39340.00,39720.0000,No,9541472,100.00,100.00,9541472.00,9541472.00,1,3790,04/07/2021
DANEL,DANE,314013,IL0003140139,0.74592,3651,67620.00,68840.0000,No,5399200,86.87,100.00,5384340.00,5384340.00,1,3229,04/07/2021
MAYTRONICS,MTRN,1091065,IL0010910656,0.72640,7885,7220.00,7148.0000,No,109205689,43.68,45.00,109129035.00,49108065.75,1,3410,04/07/2021
FORMULA,FORTY,256016,IL0002560162,0.70288,4289,28040.00,28400.0000,No,15294267,62.51,80.00,15294267.00,12235413.60,1,2715,04/07/2021
MATRIX,MTRX,445015,IL0004450156,0.67918,5525,8827.00,8805.0000,No,62594515,51.08,60.00,62594515.00,37556709.00,1,2815,04/07/2021
FOX,FOX,1087022,IL0010870223,0.64013,5225,38400.00,39200.0000,No,13606183,53.97,60.00,13561311.00,8136786.60,1,2879,04/07/2021
HILAN,HLAN,1084698,IL0010846983,0.63844,3895,17280.00,17460.0000,No,22542677,66.64,80.00,22542677.00,18034141.60,1,2623,04/07/2021
MEGA OR,MGOR,1104488,IL0011044885,0.63350,3865,10630.00,10630.0000,No,36361598,61.32,80.00,36361598.00,29089278.40,1,2370,04/07/2021
ASHTROM GROUP,ASHG,1132315,IL0011323156,0.63204,6856,6788.00,7038.0000,No,100997082,37.86,45.00,100997082.00,45448686.90,1,2691,04/07/2021
REIT 1,RIT1,1098920,IL0010989205,0.62282,3040,1700.00,1722.0000,No,178828171,98.44,100.00,178825258.00,178825258.00,1,3031,04/07/2021
AUDIOCODES,AUDC,1082965,IL0010829658,0.56901,3472,10660.00,10710.0000,No,32567814,71.26,80.00,32567814.00,26054251.20,1,2486,04/07/2021
SAPIENS,SPNS,1087659,KYG7T16G1039,0.55454,4511,8253.00,8335.0000,No,54661699,55.28,60.00,54661699.00,32797019.40,1,2519,04/07/2021
ENERGIX,ENRG,1123355,IL0011233553,0.55008,5968,1225.00,1225.0000,No,487193940,44.40,45.00,487075210.00,219183844.50,1,2650,04/07/2021
OPC ENERGY,OPCE,1141571,IL0011415713,0.53394,5793,3068.00,3100.0000,No,188824469,41.37,45.00,188772387.00,84947574.15,1,2422,04/07/2021
KENON,KEN,1134139,SG9999012629,0.52703,5717,10610.00,10600.0000,No,53879117,39.45,45.00,53879117.00,24245602.65,1,2253,04/07/2021
NEWMED ENERG PU,NWMD,475020,IL0004750209,0.51717,5610,477.90,485.0000,No,1173814691,44.80,45.00,1173814691.00,528216610.95,1,2550,04/07/2021
ISRACARD,ISCD,1157403,IL0011574030,0.50235,2452,1226.00,1231.0000,No,200000000,100.00,100.00,200000000.00,200000000.00,1,2462,04/07/2021
FIBI HOLDINGS,FIBIH,763011,IL0007630119,0.49637,4038,11390.00,11550.0000,No,35452640,47.86,60.00,35452640.00,21271584.00,1,1960,04/07/2021
GAV YAM,GVYM,759019,IL0007590198,0.47209,6584,3080.00,3080.0000,No,213757100,25.96,35.00,213757100.00,74814985.00,1,1709,04/07/2021
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.46263,3765,4037.00,4085.0000,No,93255959,54.36,60.00,93227209.00,55936325.40,1,2071,04/07/2021
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.45901,3734,16980.00,17370.0000,No,21991066,52.19,60.00,21991066.00,13194639.60,1,1994,04/07/2021
SUMMIT,SMT,1081686,IL0010816861,0.44657,3633,4920.00,4990.0000,No,73839173,47.98,60.00,73839173.00,44303503.80,1,1768,04/07/2021
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.43964,3577,5001.00,5013.0000,No,71517100,51.29,60.00,71517100.00,42910260.00,1,1839,04/07/2021
RADA,RADA,1082650,IL0010826506,0.42806,2089,4261.00,4182.0000,No,49035041,100.00,100.00,49035041.00,49035041.00,1,2051,04/07/2021
ALLOT,ALLT,1099654,IL0010996549,0.42435,2071,5854.00,5716.0000,No,35382638,94.69,100.00,35382638.00,35382638.00,1,1915,04/07/2021
PARTNER,PTNR,1083484,IL0010834849,0.41565,2536,1379.00,1424.0000,No,183906409,72.89,80.00,183905513.00,147124410.40,1,1909,04/07/2021
FATTAL HOLD,FTAL,1143429,IL0011434292,0.40311,4373,28280.00,28480.0000,No,15461573,37.64,45.00,15461541.00,6957693.45,1,1657,04/07/2021
DELEK GROUP,DLEKG,1084128,IL0010841281,0.39755,3234,18250.00,19490.0000,No,17721319,47.76,60.00,17721319.00,10632791.40,1,1650,04/07/2021
