Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 25/04/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LEUMI,LUMI,604611,IL0006046119,5.07984,33010,2272.00,2261.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.73074,32847,06/04/2021
POALIM,POLI,662577,IL0006625771,4.97490,34480,2581.00,2581.0000,No,1335921743,88.64,100.00,1335898103.00,1335898103.00,0.68514,30563,06/04/2021
NICE,NICE,273011,IL0002730112,4.83738,48099,76200.00,77860.0000,No,63121441,100.00,100.00,62732298.00,62732298.00,0.48053,49146,06/04/2021
TEVA,TEVA,629014,IL0006290147,4.39885,36678,3345.00,3346.0000,No,1096511852,99.56,100.00,1096511852.00,1096511852.00,0.56949,36528,06/04/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.98480,18922,13880.00,13550.0000,No,136324409,99.90,100.00,136324409.00,136324409.00,1,18453,06/04/2021
DISCOUNT,DSCT,691212,IL0006912120,3.59856,17088,1468.00,1458.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,16971,06/04/2021
ICL,ICL,281014,IL0002810146,3.36445,26698,2079.00,2056.0000,No,1284151147,54.24,60.00,1280751147.00,768450688.20,1,14321,06/04/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.98492,14176,25320.00,24960.0000,No,55986436,80.28,100.00,55978924.00,55978924.00,1,11218,06/04/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.91603,23093,9048.00,9014.0000,No,255229694,55.99,60.00,255061271.00,153036762.60,1,12881,06/04/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.58922,12295,18200.00,17940.0000,No,67554435,92.97,100.00,67554435.00,67554435.00,1,11267,06/04/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.56070,20266,45850.00,45420.0000,No,44200164,55.70,60.00,44200164.00,26520098.40,1,11182,06/04/2021
TOWER,TSEM,1082379,IL0010823792,2.15461,10235,9480.00,9482.0000,No,107959222,100.00,100.00,107923544.00,107923544.00,1,10237,06/04/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.01121,27286,22500.00,22460.0000,Yes,121272760,30.13,35.00,121272760.00,42445466.00,1,8207,06/04/2021
NOVA,NVMI,1084557,IL0010845571,1.81101,8600,30520.00,31550.0000,No,28176862,94.01,100.00,28176862.00,28176862.00,1,8357,06/04/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.63813,7810,4500.00,4533.0000,No,173661752,84.63,100.00,172859286.00,172859286.00,1,6662,06/04/2021
