Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 23/06/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.35003,43583,68600.00,69590.0000,No,63531636,100.00,100.00,63476860.00,63476860.00,0.65483,44212,06/06/2022
TEVA,TEVA,629014,IL0006290147,5.29007,29524,2659.00,2677.0000,No,1110352397,99.48,100.00,1110352397.00,1110352397.00,0.95498,29570,06/06/2022
POALIM,POLI,662577,IL0006625771,4.99683,39570,2960.00,2865.0000,No,1336837006,92.03,100.00,1336485845.00,1336485845.00,0.67321,35248,06/06/2022
LEUMI,LUMI,604611,IL0006046119,4.74003,44313,3050.00,3053.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.57011,44352,06/06/2022
ICL,ICL,281014,IL0002810146,4.54387,43506,3380.00,3250.0000,No,1287151147,55.92,60.00,1287151147.00,772290688.20,0.92777,23393,06/06/2022
DISCOUNT,DSCT,691212,IL0006912120,4.20088,22390,1810.00,1811.0000,No,1237011293,100.00,100.00,1237011293.00,1237011293.00,1,22402,06/06/2022
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.48257,30936,69790.00,69390.0000,No,44326891,55.83,60.00,44326891.00,26596134.60,1,17172,06/06/2022
TOWER,TSEM,1082379,IL0010823792,3.29702,17573,16110.00,16130.0000,No,109078276,100.00,100.00,109078276.00,109078276.00,1,17594,06/06/2022
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.24074,28788,11220.00,11010.0000,No,256574035,58.32,60.00,256574035.00,153944421.00,1,16475,06/06/2022
ORMAT TECHNO,ORA,1134402,US6866881021,2.53682,13521,24120.00,24100.0000,No,56056350,80.27,100.00,56056350.00,56056350.00,1,10844,06/06/2022
BEZEQ,BEZQ,230011,IL0002300114,2.23243,14873,537.80,527.5000,No,2765543598,73.19,80.00,2765540626.00,2212432500.80,1,10677,06/06/2022
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.04669,31167,25700.00,25350.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,9263,06/06/2022
NOVA,NVMI,1084557,IL0010845571,1.77558,9464,33000.00,32760.0000,No,28677310,100.00,100.00,28677310.00,28677310.00,1,9395,06/06/2022
ALONY HETZ,ALHE,390013,IL0003900136,1.50981,8047,4614.00,4537.0000,No,174403669,84.61,100.00,174403669.00,174403669.00,1,6695,06/06/2022
ISRAEL CORP,ILCO,576017,IL0005760173,1.45164,12895,167500.00,160900.0000,No,7698467,48.75,60.00,7698467.00,4619080.20,1,6039,06/06/2022
FIBI BANK,FIBI,593038,IL0005930388,1.43215,12722,12680.00,12710.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6585,06/06/2022
ENERGEAN,ENOG,1155290,GB00BG12Y042,1.33941,8924,5039.00,5095.0000,No,177089406,73.06,80.00,177089406.00,141671524.80,1,6592,06/06/2022
PHOENIX,PHOE,767012,IL0007670123,1.32330,8816,3508.00,3550.0000,No,251316365,64.15,80.00,251316365.00,201053092.00,1,5723,06/06/2022
MELISRON,MLSR,323014,IL0003230146,1.30933,11631,24500.00,23960.0000,No,47474009,48.45,60.00,47472672.00,28483603.20,1,5511,06/06/2022
MIVNE,MVNE,226019,IL0002260193,1.27201,8474,1055.00,1044.0000,No,803266889,76.01,80.00,803266889.00,642613511.20,1,6374,06/06/2022
SHUFERSAL,SAE,777037,IL0007770378,1.20592,6429,2420.00,2424.0000,No,265654749,99.82,100.00,265592983.00,265592983.00,1,6428,06/06/2022
