Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 13/09/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NICE,NICE,273011,IL0002730112,5.46447,60868,96430.00,95760.0000,No,63121441,100.00,100.00,63121441.00,63121441.00,0.46479,60445,05/09/2021
POALIM,POLI,662577,IL0006625771,5.06471,37835,2831.00,2870.0000,No,1336452973,88.64,100.00,1336452973.00,1336452973.00,0.69304,33999,05/09/2021
LEUMI,LUMI,604611,IL0006046119,4.99316,39635,2728.00,2757.0000,No,1452896006,99.99,100.00,1452896006.00,1452896006.00,0.65222,40052,05/09/2021
TEVA,TEVA,629014,IL0006290147,4.39825,32520,2950.00,3004.0000,No,1102385659,99.54,100.00,1102385659.00,1102385659.00,0.7002,32963,05/09/2021
DISCOUNT,DSCT,691212,IL0006912120,3.91211,20254,1740.00,1731.0000,No,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,20149,05/09/2021
PERRIGO,PRGO,1130699,IE00BGH1M568,3.68641,19085,14000.00,14350.0000,No,136324409,99.87,100.00,136324409.00,136324409.00,1,19537,05/09/2021
ICL,ICL,281014,IL0002810146,3.36489,29035,2261.00,2295.0000,No,1284151147,54.24,60.00,1284151147.00,770490688.20,1,15985,05/09/2021
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,3.18282,27534,10750.00,10740.0000,No,256134437,58.25,60.00,255475633.00,153285379.80,1,16024,05/09/2021
LIVEPERSON,LPSN,1123017,US5381461012,2.80540,14524,21500.00,20920.0000,No,67554435,93.44,100.00,67554435.00,67554435.00,1,13205,05/09/2021
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.48660,36782,30330.00,29940.0000,No,121272760,30.13,35.00,121272760.00,42445466.00,1,10940,05/09/2021
ORMAT TECHNO,ORA,1134402,US6866881021,2.44444,12655,22600.00,22550.0000,No,55997579,80.29,100.00,55997579.00,55997579.00,1,10139,05/09/2021
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,2.41728,20860,47190.00,47960.0000,No,44203756,55.70,60.00,44200164.00,26520098.40,1,11808,05/09/2021
TOWER,TSEM,1082379,IL0010823792,1.93812,10034,9272.00,9391.0000,No,108219239,100.00,100.00,108219239.00,108219239.00,1,10163,05/09/2021
NOVA,NVMI,1084557,IL0010845571,1.78555,9244,32600.00,32790.0000,No,28356397,94.04,100.00,28356397.00,28356397.00,1,8744,05/09/2021
ALONY HETZ,ALHE,390013,IL0003900136,1.70420,8823,5080.00,5073.0000,No,173688302,84.61,100.00,173681404.00,173681404.00,1,7455,05/09/2021
BEZEQ,BEZQ,230011,IL0002300114,1.62343,10506,379.90,377.6000,No,2765485753,73.19,80.00,2765485753.00,2212388602.40,1,7643,05/09/2021
MELISRON,MLSR,323014,IL0003230146,1.46840,12672,26700.00,26740.0000,No,47460339,48.44,60.00,47454878.00,28472926.80,1,6147,05/09/2021
MIVNE,MVNE,226019,IL0002260193,1.39782,9046,1132.00,1134.0000,No,799119757,76.37,80.00,799119757.00,639295805.60,1,6921,05/09/2021
SHUFERSAL,SAE,777037,IL0007770378,1.35133,6997,2637.00,2632.0000,No,265326677,99.92,100.00,265306147.00,265306147.00,1,6978,05/09/2021
FIBI BANK,FIBI,593038,IL0005930388,1.34297,11588,11550.00,11580.0000,No,100330040,51.64,60.00,100330040.00,60198024.00,1,6000,05/09/2021
ENLIGHT ENERGY,ENLT,720011,IL0007200111,1.23383,6388,695.00,691.5000,No,919169371,98.22,100.00,919111762.00,919111762.00,1,6243,05/09/2021
OPKO HEALTH,OPK,1129543,US68375N1037,1.21301,7850,1139.00,1137.0000,No,689204537,60.79,80.00,689204537.00,551363629.60,1,4764,05/09/2021
BIG,BIG,1097260,IL0010972607,1.19495,10315,48820.00,49310.0000,No,21127625,51.18,60.00,21120163.00,12672097.80,1,5332,05/09/2021
PHOENIX,PHOE,767012,IL0007670123,1.02353,8835,3500.00,3601.0000,No,252423184,56.14,60.00,252335083.00,151401049.80,1,5103,05/09/2021
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.95573,8248,1918.00,1931.0000,No,430026691,53.28,60.00,429965784.00,257979470.40,1,4424,05/09/2021
STRAUSS GROUP,STRS,746016,IL0007460160,0.93071,10714,9220.00,9200.0000,No,116204138,42.82,45.00,116136290.00,52261330.50,1,4578,05/09/2021
ENERGEAN,ENOG,1155290,GB00BG12Y042,0.89509,5793,3271.00,3330.0000,No,177089406,61.48,80.00,177089406.00,141671524.80,1,3626,05/09/2021
AMOT,AMOT,1097278,IL0010972789,0.88816,10222,2480.00,2460.0000,No,412169599,42.77,45.00,412026802.00,185412060.90,1,4337,05/09/2021
CAMTEK,CAMT,1095264,IL0010952641,0.88251,5770,13200.00,13090.0000,No,43712486,61.08,80.00,43266821.00,34613456.80,1,3495,05/09/2021
CLAL INSURANCE,CLIS,224014,IL0002240146,0.86966,4502,6656.00,6770.0000,No,67644867,84.99,100.00,67644867.00,67644867.00,1,3892,05/09/2021
ELECTRA,ELTR,739037,IL0007390375,0.86553,7516,196660.00,199310.0000,No,3821918,51.88,60.00,3797644.00,2278586.40,1,3952,05/09/2021
ISRAEL CORP,ILCO,576017,IL0005760173,0.86534,7467,96990.00,98270.0000,No,7698467,47.50,60.00,7698467.00,4619080.20,1,3594,05/09/2021
AIRPORT CITY,ARPT,1095835,IL0010958358,0.85611,7387,5934.00,6000.0000,No,124488481,52.41,60.00,124488481.00,74693088.60,1,3915,05/09/2021
HAREL,HARL,585018,IL0005850180,0.84212,7260,3392.00,3465.0000,No,214005323,53.37,60.00,214222623.00,128533573.80,1,3958,05/09/2021
